tick,type,data,time,meta,track,frame_rate,hours,minutes,seconds,frames,sub_frames,port,tempo,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,program,channel,control,value,note,velocity
0,sequencer_specific,"(0, 0, 91, 35, 1, 0, 5, 6, 42, 0)",0,1,0,,,,,,,,,,,,,,,,,,,
0,control_change,,0,0,6,,,,,,,,,,,,,,,5,11,127,,
0,control_change,,0,0,6,,,,,,,,,,,,,,,5,7,80,,
0,note_on,,0,0,6,,,,,,,,,,,,,,,5,,,74,76
0,track_name,,0,1,7,,,,,,,,,,,,,,,,,,,
0,midi_port,,0,1,7,,,,,,,0,,,,,,,,,,,,
0,program_change,,0,0,7,,,,,,,,,,,,,,68,6,,,,
0,control_change,,0,0,7,,,,,,,,,,,,,,,6,10,69,,
0,control_change,,0,0,7,,,,,,,,,,,,,,,6,11,127,,
0,control_change,,0,0,7,,,,,,,,,,,,,,,6,7,80,,
0,note_on,,0,0,7,,,,,,,,,,,,,,,6,,,69,76
0,track_name,,0,1,8,,,,,,,,,,,,,,,,,,,
0,midi_port,,0,1,8,,,,,,,0,,,,,,,,,,,,
0,program_change,,0,0,8,,,,,,,,,,,,,,70,7,,,,
0,control_change,,0,0,8,,,,,,,,,,,,,,,7,10,74,,
0,control_change,,0,0,8,,,,,,,,,,,,,,,7,11,127,,
0,control_change,,0,0,6,,,,,,,,,,,,,,,5,10,64,,
0,program_change,,0,0,6,,,,,,,,,,,,,,68,5,,,,
0,midi_port,,0,1,6,,,,,,,0,,,,,,,,,,,,
0,track_name,,0,1,6,,,,,,,,,,,,,,,,,,,
0,end_of_track,,0,1,1,,,,,,,,,,,,,,,,,,,
0,track_name,,0,1,2,,,,,,,,,,,,,,,,,,,
0,midi_port,,0,1,2,,,,,,,0,,,,,,,,,,,,
0,end_of_track,,0,1,2,,,,,,,,,,,,,,,,,,,
0,track_name,,0,1,3,,,,,,,,,,,,,,,,,,,
0,midi_port,,0,1,3,,,,,,,0,,,,,,,,,,,,
0,end_of_track,,0,1,3,,,,,,,,,,,,,,,,,,,
0,control_change,,0,0,8,,,,,,,,,,,,,,,7,7,88,,
0,midi_port,,0,1,4,,,,,,,0,,,,,,,,,,,,
0,track_name,,0,1,5,,,,,,,,,,,,,,,,,,,
0,midi_port,,0,1,5,,,,,,,0,,,,,,,,,,,,
0,program_change,,0,0,5,,,,,,,,,,,,,,68,4,,,,
0,control_change,,0,0,5,,,,,,,,,,,,,,,4,10,59,,
0,control_change,,0,0,5,,,,,,,,,,,,,,,4,11,127,,
0,control_change,,0,0,5,,,,,,,,,,,,,,,4,7,80,,
0,note_on,,0,0,5,,,,,,,,,,,,,,,4,,,78,76
0,end_of_track,,0,1,4,,,,,,,,,,,,,,,,,,,
