tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,data,tempo,control,value,channel,program,key,note,velocity
0,time_signature,12,8,96,8,0,1,0,,,,,,,,,
0,control_change,,,,,0,0,5,,,0,0,4,,,,
0,control_change,,,,,0,0,5,,,10,42,4,,,,
0,control_change,,,,,0,0,5,,,121,0,4,,,,
0,control_change,,,,,0,0,5,,,7,127,4,,,,
0,program_change,,,,,0,0,5,,,,,4,42,,,
0,key_signature,,,,,0,1,5,,,,,,,Bb,,
0,note_on,,,,,0,0,5,,,,,4,,,46,75
0,track_name,,,,,0,1,6,,,,,,,,,
0,control_change,,,,,0,0,6,,,0,0,5,,,,
0,control_change,,,,,0,0,6,,,10,64,5,,,,
0,control_change,,,,,0,0,6,,,121,0,5,,,,
0,control_change,,,,,0,0,6,,,7,127,5,,,,
0,program_change,,,,,0,0,6,,,,,5,43,,,
0,key_signature,,,,,0,1,6,,,,,,,Bb,,
0,note_on,,,,,0,0,6,,,,,5,,,46,63
0,track_name,,,,,0,1,5,,,,,,,,,
0,key_signature,,,,,0,1,4,,,,,,,Bb,,
0,program_change,,,,,0,0,4,,,,,3,41,,,
0,control_change,,,,,0,0,4,,,7,127,3,,,,
0,control_change,,,,,0,0,2,,,10,24,1,,,,
0,control_change,,,,,0,0,2,,,121,0,1,,,,
0,control_change,,,,,0,0,2,,,7,127,1,,,,
0,program_change,,,,,0,0,2,,,,,1,48,,,
0,key_signature,,,,,0,1,2,,,,,,,Bb,,
0,track_name,,,,,0,1,3,,,,,,,,,
0,control_change,,,,,0,0,3,,,0,0,2,,,,
0,key_signature,,,,,0,1,15,,,,,,,C,,
0,control_change,,,,,0,0,3,,,10,105,2,,,,
0,control_change,,,,,0,0,3,,,7,127,2,,,,
0,program_change,,,,,0,0,3,,,,,2,48,,,
0,key_signature,,,,,0,1,3,,,,,,,Bb,,
0,track_name,,,,,0,1,4,,,,,,,,,
0,control_change,,,,,0,0,4,,,0,0,3,,,,
0,control_change,,,,,0,0,4,,,10,42,3,,,,
0,control_change,,,,,0,0,4,,,121,0,3,,,,
0,control_change,,,,,0,0,3,,,121,0,2,,,,
0,control_change,,,,,0,0,2,,,0,0,1,,,,
0,track_name,,,,,0,1,7,,,,,,,,,
0,control_change,,,,,0,0,7,,,10,105,6,,,,
0,key_signature,,,,,0,1,10,,,,,,,C,,
0,end_of_track,,,,,0,1,10,,,,,,,,,
0,track_name,,,,,0,1,11,,,,,,,,,
0,key_signature,,,,,0,1,11,,,,,,,C,,
0,end_of_track,,,,,0,1,11,,,,,,,,,
0,track_name,,,,,0,1,12,,,,,,,,,
0,key_signature,,,,,0,1,12,,,,,,,C,,
0,end_of_track,,,,,0,1,12,,,,,,,,,
0,track_name,,,,,0,1,13,,,,,,,,,
0,key_signature,,,,,0,1,13,,,,,,,C,,
0,end_of_track,,,,,0,1,13,,,,,,,,,
0,track_name,,,,,0,1,14,,,,,,,,,
0,key_signature,,,,,0,1,14,,,,,,,C,,
0,end_of_track,,,,,0,1,14,,,,,,,,,
0,track_name,,,,,0,1,15,,,,,,,,,
0,track_name,,,,,0,1,10,,,,,,,,,
0,note_on,,,,,0,0,9,,,,,8,,,46,63
0,key_signature,,,,,0,1,9,,,,,,,Bb,,
0,program_change,,,,,0,0,9,,,,,8,70,,,
0,control_change,,,,,0,0,7,,,121,0,6,,,,
0,control_change,,,,,0,0,7,,,7,127,6,,,,
0,program_change,,,,,0,0,7,,,,,6,68,,,
0,key_signature,,,,,0,1,7,,,,,,,Bb,,
0,track_name,,,,,0,1,8,,,,,,,,,
0,control_change,,,,,0,0,8,,,0,0,7,,,,
0,control_change,,,,,0,0,8,,,10,63,7,,,,
0,control_change,,,,,0,0,7,,,0,0,6,,,,
0,control_change,,,,,0,0,8,,,121,0,7,,,,
0,program_change,,,,,0,0,8,,,,,7,71,,,
0,key_signature,,,,,0,1,8,,,,,,,Bb,,
0,track_name,,,,,0,1,9,,,,,,,,,
0,control_change,,,,,0,0,9,,,0,0,8,,,,
0,control_change,,,,,0,0,9,,,10,105,8,,,,
0,control_change,,,,,0,0,9,,,121,0,8,,,,
0,control_change,,,,,0,0,9,,,7,127,8,,,,
0,control_change,,,,,0,0,8,,,7,127,7,,,,
0,track_name,,,,,0,1,2,,,,,,,,,
0,end_of_track,,,,,0,1,15,,,,,,,,,
0,control_change,,,,,0,0,1,,,10,63,0,,,,
0,sequencer_specific,,,,,0,1,0,"(0, 0, 65)",,,,,,,,
0,set_tempo,,,,,0,1,0,,769230,,,,,,,
0,key_signature,,,,,0,1,1,,,,,,,Bb,,
0,program_change,,,,,0,0,1,,,,,0,70,,,
0,control_change,,,,,0,0,1,,,7,127,0,,,,
0,control_change,,,,,0,0,1,,,121,0,0,,,,
