tick,type,port,time,meta,track,data,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,program,channel,control,value,note,velocity
0,midi_port,0,0,1,0,,,,,,,,,,,,,
0,track_name,,0,1,6,,,,,,,,,,,,,
0,midi_port,0,0,1,6,,,,,,,,,,,,,
0,control_change,,0,0,5,,,,,,,,,4,10,110,,
0,control_change,,0,0,5,,,,,,,,,4,7,90,,
0,program_change,,0,0,5,,,,,,,,48,4,,,,
0,track_name,,0,1,5,,,,,,,,,,,,,
0,midi_port,0,0,1,5,,,,,,,,,,,,,
0,track_name,,0,1,14,,,,,,,,,,,,,
0,control_change,,0,0,4,,,,,,,,,3,10,10,,
0,control_change,,0,0,4,,,,,,,,,3,7,90,,
0,program_change,,0,0,4,,,,,,,,48,3,,,,
0,track_name,,0,1,4,,,,,,,,,,,,,
0,program_change,,0,0,6,,,,,,,,48,5,,,,
0,midi_port,0,0,1,4,,,,,,,,,,,,,
0,control_change,,0,0,3,,,,,,,,,2,7,100,,
0,program_change,,0,0,3,,,,,,,,73,2,,,,
0,track_name,,0,1,3,,,,,,,,,,,,,
0,midi_port,0,0,1,3,,,,,,,,,,,,,
0,control_change,,0,0,2,,,,,,,,,1,10,100,,
0,control_change,,0,0,2,,,,,,,,,1,7,100,,
0,program_change,,0,0,2,,,,,,,,73,1,,,,
0,track_name,,0,1,2,,,,,,,,,,,,,
0,midi_port,0,0,1,2,,,,,,,,,,,,,
0,control_change,,0,0,1,,,,,,,,,0,10,90,,
0,control_change,,0,0,1,,,,,,,,,0,7,100,,
0,program_change,,0,0,1,,,,,,,,40,0,,,,
0,control_change,,0,0,3,,,,,,,,,2,10,30,,
0,track_name,,0,1,1,,,,,,,,,,,,,
0,control_change,,0,0,6,,,,,,,,,5,7,90,,
0,midi_port,0,0,1,7,,,,,,,,,,,,,
0,midi_port,0,0,1,14,,,,,,,,,,,,,
0,end_of_track,,0,1,13,,,,,,,,,,,,,
0,track_name,,0,1,13,,,,,,,,,,,,,
0,midi_port,0,0,1,13,,,,,,,,,,,,,
0,end_of_track,,0,1,12,,,,,,,,,,,,,
