tick,type,key,time,meta,track,data,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,tempo,port,control,value,channel,pitch,program,note,velocity
0,key_signature,Eb,0,1,0,,,,,,,,,,,,,,
0,track_name,,0,1,14,,,,,,,,,,,,,,
0,midi_port,,0,1,14,,,,,,,0,,,,,,,
0,track_name,,0,1,13,,,,,,,,,,,,,,
0,midi_port,,0,1,13,,,,,,,0,,,,,,,
0,track_name,,0,1,12,,,,,,,,,,,,,,
0,midi_port,,0,1,12,,,,,,,0,,,,,,,
0,track_name,,0,1,3,,,,,,,,,,,,,,
0,track_name,,0,1,11,,,,,,,,,,,,,,
0,midi_port,,0,1,11,,,,,,,0,,,,,,,
0,track_name,,0,1,10,,,,,,,,,,,,,,
0,midi_port,,0,1,10,,,,,,,0,,,,,,,
0,track_name,,0,1,9,,,,,,,,,,,,,,
0,midi_port,,0,1,9,,,,,,,0,,,,,,,
0,track_name,,0,1,8,,,,,,,,,,,,,,
0,midi_port,,0,1,8,,,,,,,0,,,,,,,
0,track_name,,0,1,7,,,,,,,,,,,,,,
0,midi_port,,0,1,7,,,,,,,0,,,,,,,
0,midi_port,,0,1,2,,,,,,,0,,,,,,,
0,track_name,,0,1,2,,,,,,,,,,,,,,
0,track_name,,0,1,6,,,,,,,,,,,,,,
0,midi_port,,0,1,6,,,,,,,0,,,,,,,
0,track_name,,0,1,5,,,,,,,,,,,,,,
0,midi_port,,0,1,5,,,,,,,0,,,,,,,
0,track_name,,0,1,4,,,,,,,,,,,,,,
0,midi_port,,0,1,4,,,,,,,0,,,,,,,
0,track_name,,0,1,1,,,,,,,,,,,,,,
0,midi_port,,0,1,1,,,,,,,0,,,,,,,
0,midi_port,,0,1,3,,,,,,,0,,,,,,,
0,sysex,,0,0,0,"(65, 16, 66, 18, 64, 1, 48, 3, 12)",,,,,,,,,,,,,
0,sysex,,0,0,0,"(65, 16, 69, 18, 16, 0, 0, 67, 111, 112, 121, 114, 105, 103, 104, 116, 32, 49, 57, 57, 57, 44, 32, 74, 32, 67, 32, 87, 97, 104, 108, 115, 116, 114, 111, 109, 97)",,,,,,,,,,,,,
0,set_tempo,,0,1,0,,,,,,240000,,,,,,,,
0,sysex,,0,0,0,"(65, 16, 66, 18, 64, 0, 127, 0, 65)",,,,,,,,,,,,,
0,time_signature,,0,1,0,,4,4,24,8,,,,,,,,,
20,control_change,,20,0,12,,,,,,,,121,0,11,,,,
20,control_change,,20,0,9,,,,,,,,121,0,9,,,,
20,control_change,,20,0,10,,,,,,,,121,0,8,,,,
20,control_change,,20,0,8,,,,,,,,121,0,7,,,,
20,control_change,,20,0,4,,,,,,,,121,0,3,,,,
20,control_change,,20,0,6,,,,,,,,121,0,5,,,,
20,control_change,,20,0,2,,,,,,,,121,0,1,,,,
20,control_change,,20,0,5,,,,,,,,121,0,4,,,,
20,control_change,,20,0,7,,,,,,,,121,0,6,,,,
20,control_change,,20,0,1,,,,,,,,121,0,0,,,,
20,control_change,,20,0,3,,,,,,,,121,0,2,,,,
20,control_change,,20,0,14,,,,,,,,121,0,13,,,,
20,control_change,,20,0,11,,,,,,,,121,0,10,,,,
20,control_change,,20,0,13,,,,,,,,121,0,12,,,,
21,control_change,,0,0,1,,,,,,,,7,127,0,,,,
21,control_change,,0,0,4,,,,,,,,7,127,3,,,,
21,control_change,,1,0,9,,,,,,,,11,127,9,,,,
21,control_change,,0,0,9,,,,,,,,7,127,9,,,,
21,control_change,,0,0,5,,,,,,,,7,127,4,,,,
21,control_change,,1,0,5,,,,,,,,11,127,4,,,,
21,control_change,,0,0,11,,,,,,,,7,127,10,,,,
21,control_change,,0,0,12,,,,,,,,7,127,11,,,,
21,control_change,,1,0,12,,,,,,,,11,127,11,,,,
21,control_change,,0,0,6,,,,,,,,7,127,5,,,,
21,control_change,,1,0,6,,,,,,,,11,127,5,,,,
21,control_change,,1,0,14,,,,,,,,11,127,13,,,,
21,control_change,,1,0,1,,,,,,,,11,127,0,,,,
21,control_change,,0,0,14,,,,,,,,7,127,13,,,,
21,control_change,,0,0,13,,,,,,,,7,127,12,,,,
21,control_change,,1,0,13,,,,,,,,11,127,12,,,,
21,control_change,,1,0,11,,,,,,,,11,127,10,,,,
21,control_change,,0,0,10,,,,,,,,7,127,8,,,,
21,control_change,,1,0,10,,,,,,,,11,127,8,,,,
21,control_change,,0,0,7,,,,,,,,7,127,6,,,,
21,control_change,,1,0,8,,,,,,,,11,127,7,,,,
21,control_change,,0,0,3,,,,,,,,7,127,2,,,,
21,control_change,,1,0,3,,,,,,,,11,127,2,,,,
21,control_change,,1,0,4,,,,,,,,11,127,3,,,,
21,control_change,,1,0,7,,,,,,,,11,127,6,,,,
21,control_change,,1,0,2,,,,,,,,11,127,1,,,,
21,control_change,,0,0,8,,,,,,,,7,127,7,,,,
21,control_change,,0,0,2,,,,,,,,7,127,1,,,,
22,control_change,,1,0,2,,,,,,,,93,10,1,,,,
22,control_change,,1,0,12,,,,,,,,93,10,11,,,,
22,control_change,,1,0,7,,,,,,,,93,10,6,,,,
22,control_change,,1,0,11,,,,,,,,93,10,10,,,,
22,control_change,,0,0,7,,,,,,,,91,79,6,,,,
22,control_change,,1,0,6,,,,,,,,93,10,5,,,,
22,control_change,,0,0,6,,,,,,,,91,79,5,,,,
22,control_change,,0,0,12,,,,,,,,91,79,11,,,,
22,control_change,,0,0,2,,,,,,,,91,79,1,,,,
22,control_change,,0,0,14,,,,,,,,91,79,13,,,,
22,control_change,,1,0,14,,,,,,,,93,10,13,,,,
22,control_change,,1,0,13,,,,,,,,93,10,12,,,,
22,control_change,,0,0,3,,,,,,,,91,89,2,,,,
22,control_change,,0,0,13,,,,,,,,91,69,12,,,,
22,control_change,,0,0,11,,,,,,,,91,79,10,,,,
22,control_change,,1,0,3,,,,,,,,93,10,2,,,,
22,control_change,,0,0,10,,,,,,,,91,79,8,,,,
22,control_change,,1,0,1,,,,,,,,93,10,0,,,,
22,control_change,,0,0,1,,,,,,,,91,79,0,,,,
22,control_change,,0,0,5,,,,,,,,91,79,4,,,,
22,control_change,,1,0,5,,,,,,,,93,10,4,,,,
22,control_change,,1,0,4,,,,,,,,93,10,3,,,,
22,control_change,,1,0,8,,,,,,,,93,10,7,,,,
22,control_change,,1,0,9,,,,,,,,93,0,9,,,,
22,control_change,,0,0,9,,,,,,,,91,127,9,,,,
22,control_change,,0,0,8,,,,,,,,91,79,7,,,,
22,control_change,,0,0,4,,,,,,,,91,79,3,,,,
22,control_change,,1,0,10,,,,,,,,93,10,8,,,,
25,control_change,,3,0,9,,,,,,,,10,44,9,,,,
25,control_change,,3,0,5,,,,,,,,10,54,4,,,,
25,control_change,,3,0,2,,,,,,,,10,74,1,,,,
25,control_change,,3,0,14,,,,,,,,10,74,13,,,,
25,control_change,,3,0,12,,,,,,,,10,54,11,,,,
25,control_change,,3,0,11,,,,,,,,10,74,10,,,,
25,control_change,,3,0,6,,,,,,,,10,64,5,,,,
25,control_change,,3,0,1,,,,,,,,10,74,0,,,,
25,control_change,,3,0,3,,,,,,,,10,64,2,,,,
25,control_change,,3,0,8,,,,,,,,10,54,7,,,,
25,control_change,,3,0,10,,,,,,,,10,44,8,,,,
25,control_change,,3,0,7,,,,,,,,10,54,6,,,,
25,control_change,,3,0,4,,,,,,,,10,54,3,,,,
25,control_change,,3,0,13,,,,,,,,10,64,12,,,,
26,pitchwheel,,1,0,3,,,,,,,,,,2,0,,,
26,pitchwheel,,1,0,14,,,,,,,,,,13,0,,,
26,pitchwheel,,1,0,13,,,,,,,,,,12,0,,,
26,pitchwheel,,1,0,11,,,,,,,,,,10,0,,,
26,pitchwheel,,1,0,5,,,,,,,,,,4,0,,,
26,pitchwheel,,1,0,8,,,,,,,,,,7,0,,,
26,pitchwheel,,1,0,12,,,,,,,,,,11,0,,,
26,pitchwheel,,1,0,6,,,,,,,,,,5,0,,,
26,pitchwheel,,1,0,1,,,,,,,,,,0,0,,,
26,pitchwheel,,1,0,9,,,,,,,,,,9,0,,,
26,pitchwheel,,1,0,7,,,,,,,,,,6,0,,,
26,pitchwheel,,1,0,4,,,,,,,,,,3,0,,,
26,pitchwheel,,1,0,2,,,,,,,,,,1,0,,,
26,pitchwheel,,1,0,10,,,,,,,,,,8,0,,,
27,control_change,,1,0,14,,,,,,,,0,1,13,,,,
27,control_change,,1,0,1,,,,,,,,0,0,0,,,,
27,control_change,,1,0,9,,,,,,,,0,0,9,,,,
27,control_change,,1,0,11,,,,,,,,0,1,10,,,,
27,control_change,,1,0,5,,,,,,,,0,0,4,,,,
27,control_change,,1,0,10,,,,,,,,0,16,8,,,,
27,control_change,,1,0,4,,,,,,,,0,0,3,,,,
27,control_change,,1,0,3,,,,,,,,0,0,2,,,,
27,control_change,,1,0,2,,,,,,,,0,0,1,,,,
27,control_change,,1,0,6,,,,,,,,0,0,5,,,,
27,control_change,,1,0,12,,,,,,,,0,1,11,,,,
27,control_change,,1,0,7,,,,,,,,0,1,6,,,,
27,control_change,,1,0,8,,,,,,,,0,0,7,,,,
28,control_change,,1,0,4,,,,,,,,32,0,3,,,,
28,control_change,,1,0,6,,,,,,,,32,0,5,,,,
28,control_change,,1,0,10,,,,,,,,32,0,8,,,,
28,control_change,,1,0,3,,,,,,,,32,0,2,,,,
28,control_change,,1,0,7,,,,,,,,32,0,6,,,,
28,control_change,,1,0,8,,,,,,,,32,1,7,,,,
28,control_change,,1,0,1,,,,,,,,32,0,0,,,,
28,control_change,,1,0,9,,,,,,,,32,0,9,,,,
28,control_change,,1,0,5,,,,,,,,32,0,4,,,,
28,control_change,,1,0,12,,,,,,,,32,0,11,,,,
28,control_change,,1,0,14,,,,,,,,32,0,13,,,,
28,control_change,,1,0,11,,,,,,,,32,0,10,,,,
28,control_change,,1,0,2,,,,,,,,32,0,1,,,,
29,program_change,,1,0,6,,,,,,,,,,5,,70,,
29,program_change,,1,0,10,,,,,,,,,,8,,48,,
29,program_change,,1,0,12,,,,,,,,,,11,,48,,
29,program_change,,1,0,9,,,,,,,,,,9,,48,,
29,program_change,,1,0,14,,,,,,,,,,13,,48,,
29,program_change,,1,0,8,,,,,,,,,,7,,56,,
29,program_change,,1,0,7,,,,,,,,,,6,,60,,
29,program_change,,1,0,11,,,,,,,,,,10,,48,,
29,program_change,,1,0,4,,,,,,,,,,3,,68,,
29,program_change,,1,0,5,,,,,,,,,,4,,71,,
29,program_change,,1,0,2,,,,,,,,,,1,,0,,
29,program_change,,1,0,3,,,,,,,,,,2,,73,,
29,program_change,,1,0,1,,,,,,,,,,0,,0,,
32,control_change,,6,0,13,,,,,,,,0,1,12,,,,
34,control_change,,2,0,13,,,,,,,,32,0,12,,,,
36,program_change,,2,0,13,,,,,,,,,,12,,48,,
480,set_tempo,,480,1,0,,,,,,375000,,,,,,,,
840,note_on,,811,0,10,,,,,,,,,,8,,,67,55
959,note_on,,119,0,10,,,,,,,,,,8,,,67,0
960,note_on,,0,0,8,,,,,,,,,,7,,,72,34
960,note_on,,0,0,4,,,,,,,,,,3,,,75,33
960,note_on,,931,0,4,,,,,,,,,,3,,,72,23
960,note_on,,931,0,6,,,,,,,,,,5,,,48,33
960,note_on,,931,0,9,,,,,,,,,,9,,,48,24
960,note_on,,931,0,14,,,,,,,,,,13,,,36,33
960,note_on,,1,0,10,,,,,,,,,,8,,,63,55
960,note_on,,0,0,7,,,,,,,,,,6,,,55,23
960,note_on,,0,0,5,,,,,,,,,,4,,,72,44
960,note_on,,931,0,8,,,,,,,,,,7,,,60,24
960,note_on,,931,0,5,,,,,,,,,,4,,,63,34
960,note_on,,924,0,13,,,,,,,,,,12,,,48,33
960,note_on,,931,0,3,,,,,,,,,,2,,,79,28
960,note_on,,931,0,11,,,,,,,,,,10,,,60,33
960,note_on,,931,0,12,,,,,,,,,,11,,,55,33
960,note_on,,931,0,7,,,,,,,,,,6,,,67,27
961,note_on,,1,0,9,,,,,,,,,,9,,,48,0
989,note_on,,29,0,10,,,,,,,,,,8,,,63,0
1019,note_on,,59,0,3,,,,,,,,,,2,,,79,0
1019,note_on,,59,0,5,,,,,,,,,,4,,,72,0
1019,note_on,,0,0,5,,,,,,,,,,4,,,63,0
1019,note_on,,59,0,4,,,,,,,,,,3,,,75,0
1019,note_on,,0,0,4,,,,,,,,,,3,,,72,0
1019,note_on,,0,0,8,,,,,,,,,,7,,,60,0
1019,note_on,,59,0,8,,,,,,,,,,7,,,72,0
1019,note_on,,0,0,7,,,,,,,,,,6,,,67,0
1019,note_on,,59,0,7,,,,,,,,,,6,,,55,0
1049,note_on,,89,0,6,,,,,,,,,,5,,,48,0
1049,note_on,,89,0,12,,,,,,,,,,11,,,55,0
1049,note_on,,89,0,11,,,,,,,,,,10,,,60,0
1049,note_on,,89,0,13,,,,,,,,,,12,,,48,0
1049,note_on,,89,0,14,,,,,,,,,,13,,,36,0
1080,note_on,,91,0,10,,,,,,,,,,8,,,63,55
1199,note_on,,119,0,10,,,,,,,,,,8,,,63,0
1200,note_on,,151,0,11,,,,,,,,,,10,,,59,33
1200,note_on,,1,0,10,,,,,,,,,,8,,,62,55
1200,note_on,,0,0,4,,,,,,,,,,3,,,74,33
1200,note_on,,181,0,5,,,,,,,,,,4,,,71,44
1200,note_on,,151,0,14,,,,,,,,,,13,,,31,33
1200,note_on,,151,0,13,,,,,,,,,,12,,,43,33
1200,note_on,,0,0,5,,,,,,,,,,4,,,62,34
1200,note_on,,151,0,6,,,,,,,,,,5,,,43,33
1200,note_on,,181,0,4,,,,,,,,,,3,,,71,23
1200,note_on,,151,0,12,,,,,,,,,,11,,,55,33
1200,note_on,,181,0,8,,,,,,,,,,7,,,55,24
1200,note_on,,0,0,7,,,,,,,,,,6,,,67,27
1200,note_on,,0,0,8,,,,,,,,,,7,,,67,34
1200,note_on,,181,0,7,,,,,,,,,,6,,,55,23
1200,note_on,,239,0,9,,,,,,,,,,9,,,43,24
1200,note_on,,181,0,3,,,,,,,,,,2,,,79,28
1201,note_on,,1,0,9,,,,,,,,,,9,,,43,0
1229,note_on,,29,0,10,,,,,,,,,,8,,,62,0
1259,note_on,,59,0,5,,,,,,,,,,4,,,62,0
1259,note_on,,59,0,7,,,,,,,,,,6,,,67,0
1259,note_on,,0,0,7,,,,,,,,,,6,,,55,0
1259,note_on,,0,0,5,,,,,,,,,,4,,,71,0
1259,note_on,,0,0,4,,,,,,,,,,3,,,71,0
1259,note_on,,59,0,4,,,,,,,,,,3,,,74,0
1259,note_on,,59,0,3,,,,,,,,,,2,,,79,0
1259,note_on,,59,0,8,,,,,,,,,,7,,,67,0
1259,note_on,,0,0,8,,,,,,,,,,7,,,55,0
1289,note_on,,89,0,11,,,,,,,,,,10,,,59,0
1289,note_on,,89,0,12,,,,,,,,,,11,,,55,0
1289,note_on,,89,0,13,,,,,,,,,,12,,,43,0
1289,note_on,,89,0,6,,,,,,,,,,5,,,43,0
1289,note_on,,89,0,14,,,,,,,,,,13,,,31,0
1320,note_on,,91,0,10,,,,,,,,,,8,,,62,55
1439,note_on,,119,0,10,,,,,,,,,,8,,,62,0
1440,note_on,,0,0,5,,,,,,,,,,4,,,72,34
1440,note_on,,151,0,13,,,,,,,,,,12,,,48,33
1440,note_on,,181,0,5,,,,,,,,,,4,,,63,34
1440,note_on,,181,0,3,,,,,,,,,,2,,,75,28
1440,note_on,,151,0,12,,,,,,,,,,11,,,51,33
1440,note_on,,151,0,14,,,,,,,,,,13,,,36,33
1440,note_on,,239,0,9,,,,,,,,,,9,,,48,24
1440,note_on,,0,0,8,,,,,,,,,,7,,,60,24
1440,note_on,,181,0,7,,,,,,,,,,6,,,55,23
1440,note_on,,0,0,7,,,,,,,,,,6,,,67,27
1440,note_on,,181,0,4,,,,,,,,,,3,,,72,23
1440,note_on,,151,0,6,,,,,,,,,,5,,,48,33
1440,note_on,,181,0,8,,,,,,,,,,7,,,72,34
1440,note_on,,1,0,10,,,,,,,,,,8,,,60,45
1441,note_on,,1,0,9,,,,,,,,,,9,,,48,0
1499,note_on,,0,0,8,,,,,,,,,,7,,,72,0
1499,note_on,,59,0,3,,,,,,,,,,2,,,75,0
1499,note_on,,59,0,7,,,,,,,,,,6,,,67,0
1499,note_on,,0,0,7,,,,,,,,,,6,,,55,0
1499,note_on,,59,0,5,,,,,,,,,,4,,,72,0
1499,note_on,,0,0,5,,,,,,,,,,4,,,63,0
1499,note_on,,59,0,8,,,,,,,,,,7,,,60,0
1529,note_on,,89,0,6,,,,,,,,,,5,,,48,0
1559,note_on,,119,0,4,,,,,,,,,,3,,,72,0
1559,note_on,,119,0,10,,,,,,,,,,8,,,60,0
1559,note_on,,119,0,14,,,,,,,,,,13,,,36,0
1559,note_on,,119,0,13,,,,,,,,,,12,,,48,0
1559,note_on,,119,0,12,,,,,,,,,,11,,,51,0
1800,note_on,,301,0,3,,,,,,,,,,2,,,79,33
1800,note_on,,241,0,10,,,,,,,,,,8,,,67,43
1919,control_change,,630,0,11,,,,,,,,11,66,10,,,,
1919,control_change,,360,0,13,,,,,,,,11,66,12,,,,
1919,note_on,,119,0,10,,,,,,,,,,8,,,67,0
1919,control_change,,360,0,12,,,,,,,,11,66,11,,,,
1919,note_on,,119,0,3,,,,,,,,,,2,,,79,0
1919,control_change,,390,0,6,,,,,,,,11,66,5,,,,
1920,note_on,,361,0,14,,,,,,,,,,13,,,32,33
1920,note_on,,1,0,10,,,,,,,,,,8,,,72,46
1920,note_on,,1,0,6,,,,,,,,,,5,,,44,43
1920,note_on,,1,0,3,,,,,,,,,,2,,,84,33
1920,note_on,,1,0,13,,,,,,,,,,12,,,44,53
1920,note_on,,1,0,11,,,,,,,,,,10,,,66,43
1920,note_on,,1,0,12,,,,,,,,,,11,,,63,43
1921,control_change,,1,0,13,,,,,,,,11,67,12,,,,
1921,control_change,,1,0,11,,,,,,,,11,67,10,,,,
1921,control_change,,1,0,12,,,,,,,,11,67,11,,,,
1921,control_change,,1,0,6,,,,,,,,11,67,5,,,,
1932,control_change,,11,0,11,,,,,,,,11,68,10,,,,
1936,control_change,,15,0,13,,,,,,,,11,68,12,,,,
1936,control_change,,15,0,12,,,,,,,,11,68,11,,,,
1936,control_change,,15,0,6,,,,,,,,11,68,5,,,,
1943,control_change,,11,0,11,,,,,,,,11,69,10,,,,
1951,control_change,,15,0,13,,,,,,,,11,69,12,,,,
1951,control_change,,15,0,12,,,,,,,,11,69,11,,,,
1951,control_change,,15,0,6,,,,,,,,11,69,5,,,,
1954,control_change,,11,0,11,,,,,,,,11,70,10,,,,
1959,note_on,,39,0,10,,,,,,,,,,8,,,72,0
