tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,control,value,channel,program,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,
0,program_change,0,0,2,,,,,,,,,1,0,,
0,control_change,0,0,2,,,,,,,10,95,1,,,
0,control_change,0,0,2,,,,,,,7,100,1,,,
0,control_change,0,0,2,,,,,,,0,0,1,,,
0,note_on,0,0,1,,,,,,,,,0,,77,100
0,program_change,0,0,1,,,,,,,,,0,0,,
0,control_change,0,0,1,,,,,,,10,32,0,,,
0,control_change,0,0,1,,,,,,,7,105,0,,,
0,control_change,0,0,1,,,,,,,0,0,0,,,
0,end_of_track,0,1,3,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,
0,set_tempo,0,1,0,,,,,,461538,,,,,,
0,key_signature,0,1,0,,,,,F,,,,,,,
0,time_signature,0,1,0,2,4,24,8,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,
0,track_name,0,1,0,,,,,,,,,,,,
119,note_on,119,0,1,,,,,,,,,0,,77,0
120,note_on,1,0,1,,,,,,,,,0,,81,100
239,note_on,119,0,1,,,,,,,,,0,,81,0
240,note_on,1,0,1,,,,,,,,,0,,84,100
240,note_on,0,0,1,,,,,,,,,0,,65,100
359,note_on,119,0,1,,,,,,,,,0,,65,0
360,note_on,1,0,1,,,,,,,,,0,,69,100
479,note_on,119,0,1,,,,,,,,,0,,69,0
479,note_on,0,0,1,,,,,,,,,0,,84,0
480,note_on,0,0,1,,,,,,,,,0,,72,100
480,note_on,480,0,2,,,,,,,,,1,,48,100
480,note_on,1,0,1,,,,,,,,,0,,82,100
599,note_on,119,0,1,,,,,,,,,0,,82,0
599,note_on,119,0,2,,,,,,,,,1,,48,0
600,note_on,1,0,2,,,,,,,,,1,,52,100
600,note_on,1,0,1,,,,,,,,,0,,81,100
659,note_on,59,0,1,,,,,,,,,0,,81,0
660,note_on,0,0,1,,,,,,,,,0,,79,100
660,note_on,1,0,1,,,,,,,,,0,,79,100
719,note_on,119,0,2,,,,,,,,,1,,52,0
719,note_on,0,0,1,,,,,,,,,0,,72,0
719,note_on,0,0,1,,,,,,,,,0,,79,0
719,note_on,59,0,1,,,,,,,,,0,,79,0
720,note_on,0,0,1,,,,,,,,,0,,72,100
720,note_on,1,0,1,,,,,,,,,0,,81,100
720,note_on,1,0,2,,,,,,,,,1,,53,100
839,note_on,119,0,1,,,,,,,,,0,,72,0
840,note_on,1,0,1,,,,,,,,,0,,70,100
899,note_on,59,0,1,,,,,,,,,0,,70,0
900,note_on,1,0,1,,,,,,,,,0,,69,100
959,note_on,239,0,2,,,,,,,,,1,,53,0
959,note_on,59,0,1,,,,,,,,,0,,69,0
959,note_on,0,0,1,,,,,,,,,0,,81,0
960,note_on,1,0,1,,,,,,,,,0,,79,100
960,note_on,1,0,2,,,,,,,,,1,,46,100
960,note_on,0,0,1,,,,,,,,,0,,70,100
1010,note_on,50,0,2,,,,,,,,,1,,46,0
1010,note_on,0,0,1,,,,,,,,,0,,79,0
1010,note_on,50,0,1,,,,,,,,,0,,70,0
1080,note_on,70,0,1,,,,,,,,,0,,77,100
1080,note_on,0,0,1,,,,,,,,,0,,69,100
1080,note_on,70,0,2,,,,,,,,,1,,47,100
1130,note_on,0,0,1,,,,,,,,,0,,77,0
1130,note_on,50,0,2,,,,,,,,,1,,47,0
1130,note_on,50,0,1,,,,,,,,,0,,69,0
1200,note_on,70,0,2,,,,,,,,,1,,48,100
1200,note_on,0,0,1,,,,,,,,,0,,67,100
1200,note_on,70,0,1,,,,,,,,,0,,76,100
1319,note_on,119,0,2,,,,,,,,,1,,48,0
1320,note_on,1,0,2,,,,,,,,,1,,36,100
1439,note_on,239,0,1,,,,,,,,,0,,67,0
1439,note_on,119,0,2,,,,,,,,,1,,36,0
1439,note_on,0,0,1,,,,,,,,,0,,76,0
1440,note_on,1,0,1,,,,,,,,,0,,77,100
1559,note_on,119,0,1,,,,,,,,,0,,77,0
1560,note_on,1,0,1,,,,,,,,,0,,81,100
1679,note_on,119,0,1,,,,,,,,,0,,81,0
1680,note_on,1,0,1,,,,,,,,,0,,84,100
1680,note_on,0,0,1,,,,,,,,,0,,65,100
1799,note_on,119,0,1,,,,,,,,,0,,65,0
1800,note_on,1,0,1,,,,,,,,,0,,69,100
1919,note_on,119,0,1,,,,,,,,,0,,69,0
1919,note_on,0,0,1,,,,,,,,,0,,84,0
1920,note_on,1,0,1,,,,,,,,,0,,82,100
1920,note_on,481,0,2,,,,,,,,,1,,48,100
1920,note_on,0,0,1,,,,,,,,,0,,72,100
2039,note_on,119,0,2,,,,,,,,,1,,48,0
2039,note_on,119,0,1,,,,,,,,,0,,82,0
2040,note_on,1,0,2,,,,,,,,,1,,52,100
2040,note_on,1,0,1,,,,,,,,,0,,81,100
2099,note_on,59,0,1,,,,,,,,,0,,81,0
2100,note_on,1,0,1,,,,,,,,,0,,79,100
2100,note_on,0,0,1,,,,,,,,,0,,79,100
2159,note_on,119,0,2,,,,,,,,,1,,52,0
2159,note_on,59,0,1,,,,,,,,,0,,79,0
2159,note_on,0,0,1,,,,,,,,,0,,79,0
2159,note_on,0,0,1,,,,,,,,,0,,72,0
2160,note_on,1,0,2,,,,,,,,,1,,53,100
2160,note_on,1,0,1,,,,,,,,,0,,81,100
2160,note_on,0,0,1,,,,,,,,,0,,72,100
