tick,type,time,meta,track,frame_rate,hours,minutes,seconds,frames,sub_frames,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,control,value,channel,program,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,,,,,,,
0,control_change,0,0,10,,,,,,,,,,,,,0,0,10,,,
0,control_change,0,0,10,,,,,,,,,,,,,7,70,10,,,
0,control_change,0,0,10,,,,,,,,,,,,,10,100,10,,,
0,control_change,0,0,10,,,,,,,,,,,,,91,85,10,,,
0,control_change,0,0,10,,,,,,,,,,,,,93,85,10,,,
0,track_name,0,1,11,,,,,,,,,,,,,,,,,,
0,control_change,0,0,11,,,,,,,,,,,,,91,0,0,,,
0,control_change,0,0,11,,,,,,,,,,,,,93,0,0,,,
0,end_of_track,0,1,11,,,,,,,,,,,,,,,,,,
0,track_name,0,1,12,,,,,,,,,,,,,,,,,,
0,control_change,0,0,12,,,,,,,,,,,,,91,0,0,,,
0,control_change,0,0,12,,,,,,,,,,,,,93,0,0,,,
0,end_of_track,0,1,12,,,,,,,,,,,,,,,,,,
0,track_name,0,1,13,,,,,,,,,,,,,,,,,,
0,control_change,0,0,13,,,,,,,,,,,,,91,0,0,,,
0,control_change,0,0,13,,,,,,,,,,,,,93,0,0,,,
0,end_of_track,0,1,13,,,,,,,,,,,,,,,,,,
0,track_name,0,1,14,,,,,,,,,,,,,,,,,,
0,control_change,0,0,14,,,,,,,,,,,,,91,0,0,,,
0,control_change,0,0,14,,,,,,,,,,,,,93,0,0,,,
0,end_of_track,0,1,14,,,,,,,,,,,,,,,,,,
0,track_name,0,1,15,,,,,,,,,,,,,,,,,,
0,control_change,0,0,15,,,,,,,,,,,,,0,0,4,,,
0,control_change,0,0,15,,,,,,,,,,,,,7,90,4,,,
0,control_change,0,0,15,,,,,,,,,,,,,10,70,4,,,
0,track_name,0,1,10,,,,,,,,,,,,,,,,,,
0,control_change,0,0,9,,,,,,,,,,,,,93,73,8,,,
0,control_change,0,0,9,,,,,,,,,,,,,91,82,8,,,
0,control_change,0,0,9,,,,,,,,,,,,,10,85,8,,,
0,control_change,0,0,5,,,,,,,,,,,,,7,90,4,,,
0,control_change,0,0,5,,,,,,,,,,,,,10,70,4,,,
0,control_change,0,0,5,,,,,,,,,,,,,91,127,4,,,
0,control_change,0,0,5,,,,,,,,,,,,,93,124,4,,,
0,control_change,0,0,25,,,,,,,,,,,,,91,0,0,,,
0,track_name,0,1,6,,,,,,,,,,,,,,,,,,
0,control_change,0,0,6,,,,,,,,,,,,,0,0,5,,,
0,control_change,0,0,6,,,,,,,,,,,,,7,100,5,,,
0,control_change,0,0,6,,,,,,,,,,,,,10,30,5,,,
0,control_change,0,0,6,,,,,,,,,,,,,91,88,5,,,
0,control_change,0,0,6,,,,,,,,,,,,,93,88,5,,,
0,track_name,0,1,7,,,,,,,,,,,,,,,,,,
0,control_change,0,0,15,,,,,,,,,,,,,91,0,4,,,
0,control_change,0,0,7,,,,,,,,,,,,,0,0,6,,,
0,control_change,0,0,7,,,,,,,,,,,,,10,100,6,,,
0,control_change,0,0,7,,,,,,,,,,,,,91,88,6,,,
0,control_change,0,0,7,,,,,,,,,,,,,93,85,6,,,
0,track_name,0,1,8,,,,,,,,,,,,,,,,,,
0,control_change,0,0,8,,,,,,,,,,,,,0,0,7,,,
0,control_change,0,0,8,,,,,,,,,,,,,7,100,7,,,
0,control_change,0,0,8,,,,,,,,,,,,,10,45,7,,,
0,control_change,0,0,8,,,,,,,,,,,,,91,91,7,,,
0,control_change,0,0,8,,,,,,,,,,,,,93,88,7,,,
0,track_name,0,1,9,,,,,,,,,,,,,,,,,,
0,control_change,0,0,9,,,,,,,,,,,,,0,0,8,,,
0,control_change,0,0,9,,,,,,,,,,,,,7,90,8,,,
0,control_change,0,0,7,,,,,,,,,,,,,7,100,6,,,
0,control_change,0,0,5,,,,,,,,,,,,,0,0,4,,,
0,control_change,0,0,15,,,,,,,,,,,,,93,0,4,,,
0,control_change,0,0,16,,,,,,,,,,,,,0,0,5,,,
0,control_change,0,0,21,,,,,,,,,,,,,93,0,0,,,
0,end_of_track,0,1,21,,,,,,,,,,,,,,,,,,
0,track_name,0,1,22,,,,,,,,,,,,,,,,,,
0,control_change,0,0,22,,,,,,,,,,,,,91,0,0,,,
0,control_change,0,0,22,,,,,,,,,,,,,93,0,0,,,
0,end_of_track,0,1,22,,,,,,,,,,,,,,,,,,
0,track_name,0,1,23,,,,,,,,,,,,,,,,,,
0,control_change,0,0,23,,,,,,,,,,,,,91,0,0,,,
0,control_change,0,0,23,,,,,,,,,,,,,93,0,0,,,
