tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,program,channel,note,velocity
0,track_name,0,1,0,,,,,,,,,,
0,note_on,0,0,2,,,,,,,,1,46,88
0,program_change,0,0,2,,,,,,,0,1,,
0,note_on,0,0,1,,,,,,,,0,70,88
0,program_change,0,0,1,,,,,,,0,0,,
0,end_of_track,0,1,3,,,,,,,,,,
0,time_signature,0,1,0,2,4,24,8,,,,,,
0,copyright,0,1,0,,,,,,,,,,
0,key_signature,0,1,0,,,,,Bb,,,,,
0,set_tempo,0,1,0,,,,,,714286,,,,
43,note_on,43,0,2,,,,,,,,1,46,0
48,note_on,5,0,2,,,,,,,,1,58,88
91,note_on,43,0,2,,,,,,,,1,58,0
96,note_on,5,0,2,,,,,,,,1,62,88
139,note_on,43,0,2,,,,,,,,1,62,0
144,note_on,5,0,2,,,,,,,,1,58,88
172,note_on,172,0,1,,,,,,,,0,70,0
187,note_on,43,0,2,,,,,,,,1,58,0
192,note_on,20,0,1,,,,,,,,0,72,88
240,note_on,53,0,2,,,,,,,,1,53,88
283,note_on,43,0,2,,,,,,,,1,53,0
288,note_on,5,0,2,,,,,,,,1,57,88
331,note_on,43,0,2,,,,,,,,1,57,0
336,note_on,5,0,2,,,,,,,,1,53,88
364,note_on,172,0,1,,,,,,,,0,72,0
379,note_on,43,0,2,,,,,,,,1,53,0
384,note_on,20,0,1,,,,,,,,0,74,88
432,note_on,53,0,2,,,,,,,,1,58,88
475,note_on,43,0,2,,,,,,,,1,58,0
480,note_on,5,0,2,,,,,,,,1,57,88
523,note_on,43,0,2,,,,,,,,1,57,0
528,note_on,5,0,2,,,,,,,,1,58,88
556,note_on,172,0,1,,,,,,,,0,74,0
571,note_on,43,0,2,,,,,,,,1,58,0
576,note_on,20,0,1,,,,,,,,0,75,88
576,note_on,5,0,2,,,,,,,,1,55,88
619,note_on,43,0,2,,,,,,,,1,55,0
624,note_on,5,0,2,,,,,,,,1,58,88
662,note_on,86,0,1,,,,,,,,0,75,0
667,note_on,43,0,2,,,,,,,,1,58,0
672,note_on,5,0,2,,,,,,,,1,50,88
672,note_on,10,0,1,,,,,,,,0,77,88
715,note_on,43,0,2,,,,,,,,1,50,0
720,note_on,5,0,2,,,,,,,,1,58,88
758,note_on,86,0,1,,,,,,,,0,77,0
763,note_on,43,0,2,,,,,,,,1,58,0
768,note_on,10,0,1,,,,,,,,0,79,88
768,note_on,5,0,2,,,,,,,,1,51,88
811,note_on,43,0,2,,,,,,,,1,51,0
816,note_on,5,0,2,,,,,,,,1,51,88
859,note_on,43,0,2,,,,,,,,1,51,0
864,note_on,5,0,2,,,,,,,,1,51,88
907,note_on,43,0,2,,,,,,,,1,51,0
912,note_on,0,0,1,,,,,,,,0,77,88
912,note_on,144,0,1,,,,,,,,0,79,0
912,note_on,5,0,2,,,,,,,,1,51,88
924,note_on,12,0,1,,,,,,,,0,77,0
924,note_on,0,0,1,,,,,,,,0,75,88
936,note_on,12,0,1,,,,,,,,0,75,0
936,note_on,0,0,1,,,,,,,,0,74,88
948,note_on,12,0,1,,,,,,,,0,74,0
948,note_on,0,0,1,,,,,,,,0,72,88
955,note_on,43,0,2,,,,,,,,1,51,0
958,note_on,10,0,1,,,,,,,,0,72,0
960,note_on,2,0,1,,,,,,,,0,70,88
960,note_on,5,0,2,,,,,,,,1,51,88
966,note_on,6,0,1,,,,,,,,0,70,0
966,note_on,0,0,1,,,,,,,,0,69,88
1003,note_on,43,0,2,,,,,,,,1,51,0
1003,note_on,37,0,1,,,,,,,,0,69,0
1008,note_on,5,0,1,,,,,,,,0,70,88
1008,note_on,5,0,2,,,,,,,,1,50,88
1051,note_on,43,0,2,,,,,,,,1,50,0
1051,note_on,43,0,1,,,,,,,,0,70,0
1056,note_on,5,0,1,,,,,,,,0,72,88
1056,note_on,5,0,2,,,,,,,,1,51,88
1099,note_on,43,0,2,,,,,,,,1,51,0
1104,note_on,5,0,2,,,,,,,,1,53,88
1120,note_on,64,0,1,,,,,,,,0,72,0
1128,note_on,8,0,1,,,,,,,,0,74,88
1138,note_on,10,0,1,,,,,,,,0,74,0
1140,note_on,2,0,1,,,,,,,,0,75,88
1147,note_on,43,0,2,,,,,,,,1,53,0
1150,note_on,10,0,1,,,,,,,,0,75,0
1152,note_on,2,0,1,,,,,,,,0,75,88
1152,note_on,5,0,2,,,,,,,,1,46,88
1158,note_on,6,0,1,,,,,,,,0,75,0
1158,note_on,0,0,1,,,,,,,,0,74,88
1195,note_on,43,0,2,,,,,,,,1,46,0
1200,note_on,5,0,2,,,,,,,,1,58,88
1243,note_on,43,0,2,,,,,,,,1,58,0
1248,note_on,5,0,2,,,,,,,,1,53,88
1248,note_on,90,0,1,,,,,,,,0,74,0
1291,note_on,43,0,2,,,,,,,,1,53,0
1296,note_on,5,0,2,,,,,,,,1,50,88
1339,note_on,43,0,2,,,,,,,,1,50,0
1344,note_on,5,0,2,,,,,,,,1,46,88
1344,note_on,96,0,1,,,,,,,,0,72,88
1350,note_on,6,0,1,,,,,,,,0,72,0
1350,note_on,0,0,1,,,,,,,,0,70,88
1356,note_on,0,0,1,,,,,,,,0,72,88
1356,note_on,6,0,1,,,,,,,,0,70,0
1362,note_on,6,0,1,,,,,,,,0,72,0
1362,note_on,0,0,1,,,,,,,,0,70,88
1368,note_on,6,0,1,,,,,,,,0,70,0
1368,note_on,0,0,1,,,,,,,,0,72,88
1374,note_on,6,0,1,,,,,,,,0,72,0
1374,note_on,0,0,1,,,,,,,,0,70,88
1380,note_on,6,0,1,,,,,,,,0,70,0
1380,note_on,0,0,1,,,,,,,,0,72,88
1386,note_on,6,0,1,,,,,,,,0,72,0
1386,note_on,0,0,1,,,,,,,,0,70,88
1387,note_on,43,0,2,,,,,,,,1,46,0
1392,note_on,5,0,2,,,,,,,,1,58,88
1392,note_on,6,0,1,,,,,,,,0,70,0
1392,note_on,0,0,1,,,,,,,,0,72,88
1398,note_on,0,0,1,,,,,,,,0,70,88
1398,note_on,6,0,1,,,,,,,,0,72,0
1404,note_on,0,0,1,,,,,,,,0,72,88
1404,note_on,6,0,1,,,,,,,,0,70,0
