tick,type,time,meta,track,data,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,program,channel,control,value,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,,
0,track_name,0,1,4,,,,,,,,,,,,,
0,track_name,0,1,5,,,,,,,,,,,,,
0,track_name,0,1,6,,,,,,,,,,,,,
0,end_of_track,0,1,18,,,,,,,,,,,,,
0,track_name,0,1,7,,,,,,,,,,,,,
0,track_name,0,1,8,,,,,,,,,,,,,
0,track_name,0,1,9,,,,,,,,,,,,,
0,track_name,0,1,10,,,,,,,,,,,,,
0,track_name,0,1,11,,,,,,,,,,,,,
0,track_name,0,1,3,,,,,,,,,,,,,
0,track_name,0,1,12,,,,,,,,,,,,,
0,track_name,0,1,14,,,,,,,,,,,,,
0,end_of_track,0,1,14,,,,,,,,,,,,,
0,track_name,0,1,15,,,,,,,,,,,,,
0,end_of_track,0,1,15,,,,,,,,,,,,,
0,track_name,0,1,16,,,,,,,,,,,,,
0,end_of_track,0,1,16,,,,,,,,,,,,,
0,track_name,0,1,17,,,,,,,,,,,,,
0,end_of_track,0,1,17,,,,,,,,,,,,,
0,track_name,0,1,18,,,,,,,,,,,,,
0,track_name,0,1,13,,,,,,,,,,,,,
0,track_name,0,1,2,,,,,,,,,,,,,
0,end_of_track,0,1,19,,,,,,,,,,,,,
0,time_signature,0,1,0,,4,4,24,8,,,,,,,,
0,key_signature,0,1,0,,,,,,C,,,,,,,
0,set_tempo,0,1,0,,,,,,,400000,,,,,,
0,track_name,0,1,1,,,,,,,,,,,,,
0,sysex,0,0,0,"(126, 127, 9, 1)",,,,,,,,,,,,
384,program_change,384,0,1,,,,,,,,71,0,,,,
385,control_change,0,0,1,,,,,,,,,0,10,55,,
385,control_change,1,0,1,,,,,,,,,0,7,73,,
386,program_change,386,0,2,,,,,,,,70,1,,,,
387,control_change,1,0,2,,,,,,,,,1,7,75,,
387,control_change,0,0,2,,,,,,,,,1,10,70,,
388,program_change,388,0,3,,,,,,,,56,2,,,,
389,control_change,1,0,3,,,,,,,,,2,7,95,,
389,control_change,0,0,3,,,,,,,,,2,10,58,,
390,program_change,390,0,4,,,,,,,,47,3,,,,
391,control_change,1,0,4,,,,,,,,,3,7,80,,
391,control_change,0,0,4,,,,,,,,,3,10,55,,
392,program_change,392,0,5,,,,,,,,48,4,,,,
393,control_change,1,0,5,,,,,,,,,4,7,123,,
393,control_change,0,0,5,,,,,,,,,4,10,58,,
394,program_change,394,0,6,,,,,,,,48,5,,,,
395,control_change,1,0,6,,,,,,,,,5,7,119,,
395,control_change,0,0,6,,,,,,,,,5,10,57,,
396,program_change,396,0,7,,,,,,,,48,6,,,,
397,control_change,0,0,7,,,,,,,,,6,10,68,,
397,control_change,1,0,7,,,,,,,,,6,7,119,,
398,program_change,398,0,8,,,,,,,,48,7,,,,
399,control_change,0,0,8,,,,,,,,,7,10,72,,
399,control_change,1,0,8,,,,,,,,,7,7,123,,
400,program_change,400,0,9,,,,,,,,48,8,,,,
401,control_change,1,0,9,,,,,,,,,8,7,124,,
401,control_change,0,0,9,,,,,,,,,8,10,75,,
406,program_change,406,0,10,,,,,,,,52,11,,,,
407,control_change,1,0,10,,,,,,,,,11,7,127,,
407,control_change,0,0,10,,,,,,,,,11,10,55,,
408,program_change,408,0,11,,,,,,,,52,12,,,,
409,control_change,1,0,11,,,,,,,,,12,7,125,,
409,control_change,0,0,11,,,,,,,,,12,10,74,,
410,program_change,410,0,12,,,,,,,,52,13,,,,
411,control_change,0,0,12,,,,,,,,,13,10,57,,
411,control_change,1,0,12,,,,,,,,,13,7,124,,
412,program_change,412,0,13,,,,,,,,52,14,,,,
413,control_change,1,0,13,,,,,,,,,14,7,124,,
413,control_change,0,0,13,,,,,,,,,14,10,70,,
480,control_change,93,0,2,,,,,,,,,1,91,120,,
480,control_change,85,0,6,,,,,,,,,5,91,120,,
480,control_change,87,0,5,,,,,,,,,4,91,120,,
480,control_change,89,0,4,,,,,,,,,3,91,100,,
480,control_change,71,0,11,,,,,,,,,12,91,120,,
480,control_change,83,0,7,,,,,,,,,6,91,120,,
480,control_change,79,0,9,,,,,,,,,8,91,120,,
480,control_change,67,0,13,,,,,,,,,14,91,120,,
576,control_change,191,0,1,,,,,,,,,0,91,120,,
576,control_change,169,0,10,,,,,,,,,11,91,120,,
576,control_change,177,0,8,,,,,,,,,7,91,120,,
576,control_change,165,0,12,,,,,,,,,13,91,120,,
576,control_change,187,0,3,,,,,,,,,2,91,120,,
3048,note_on,2568,0,9,,,,,,,,,8,,,38,101
3050,note_on,2570,0,5,,,,,,,,,4,,,74,108
3052,note_on,2476,0,12,,,,,,,,,13,,,65,99
3056,note_on,2480,0,8,,,,,,,,,7,,,50,108
3058,note_on,2578,0,11,,,,,,,,,12,,,69,103
3062,note_on,2486,0,10,,,,,,,,,11,,,74,113
3064,note_on,2488,0,1,,,,,,,,,0,,,65,91
3066,note_on,2586,0,13,,,,,,,,,14,,,62,103
3068,note_on,2588,0,6,,,,,,,,,5,,,65,94
3070,note_on,2590,0,7,,,,,,,,,6,,,57,88
3072,note_on,8,0,1,,,,,,,,,0,,,74,103
3072,note_on,2592,0,4,,,,,,,,,3,,,50,108
3078,note_on,6,0,4,,,,,,,,,3,,,38,95
