tick,type,tempo,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,channel,control,value,program,note,velocity
0,set_tempo,500000,0,1,0,,,,,,,,,,,
0,channel_prefix,,0,1,2,,,,,,1,,,,,
0,control_change,,0,0,2,,,,,,1,7,100,,,
0,program_change,,0,0,2,,,,,,1,,,0,,
0,control_change,,0,0,2,,,,,,1,0,0,,,
0,note_on,,0,0,2,,,,,,1,,,,48,94
0,track_name,,0,1,3,,,,,,,,,,,
0,channel_prefix,,0,1,3,,,,,,2,,,,,
0,control_change,,0,0,3,,,,,,2,7,0,,,
0,track_name,,0,1,2,,,,,,,,,,,
0,program_change,,0,0,3,,,,,,2,,,0,,
0,track_name,,0,1,4,,,,,,,,,,,
0,channel_prefix,,0,1,4,,,,,,3,,,,,
0,control_change,,0,0,4,,,,,,3,7,100,,,
0,program_change,,0,0,4,,,,,,3,,,0,,
0,end_of_track,,0,1,4,,,,,,,,,,,
0,track_name,,0,1,5,,,,,,,,,,,
0,channel_prefix,,0,1,5,,,,,,4,,,,,
0,control_change,,0,0,5,,,,,,4,7,100,,,
0,end_of_track,,0,1,3,,,,,,,,,,,
0,program_change,,0,0,5,,,,,,4,,,0,,
0,end_of_track,,0,1,5,,,,,,,,,,,
0,note_on,,0,0,1,,,,,,0,,,,72,94
0,control_change,,0,0,1,,,,,,0,0,0,,,
0,program_change,,0,0,1,,,,,,0,,,0,,
0,note_on,,0,0,1,,,,,,0,,,,64,94
0,note_on,,0,0,1,,,,,,0,,,,67,94
0,track_name,,0,1,1,,,,,,,,,,,
0,end_of_track,,0,1,0,,,,,,,,,,,
0,control_change,,0,0,1,,,,,,0,7,127,,,
0,key_signature,,0,1,0,,,,,C,,,,,,
0,time_signature,,0,1,0,4,4,96,8,,,,,,,
0,channel_prefix,,0,1,1,,,,,,0,,,,,
37,note_off,,37,0,2,,,,,,1,,,,48,0
48,note_on,,48,0,1,,,,,,0,,,,60,94
85,note_off,,37,0,1,,,,,,0,,,,60,0
96,note_on,,59,0,2,,,,,,1,,,,59,94
133,note_off,,37,0,2,,,,,,1,,,,59,0
144,note_on,,59,0,1,,,,,,0,,,,60,94
152,note_off,,8,0,1,,,,,,0,,,,72,0
152,note_off,,0,0,1,,,,,,0,,,,67,0
152,note_off,,0,0,1,,,,,,0,,,,64,0
181,note_off,,29,0,1,,,,,,0,,,,60,0
192,note_on,,59,0,2,,,,,,1,,,,48,94
268,note_off,,76,0,2,,,,,,1,,,,48,0
288,note_on,,107,0,1,,,,,,0,,,,72,94
325,note_off,,37,0,1,,,,,,0,,,,72,0
336,note_on,,11,0,1,,,,,,0,,,,71,94
373,note_off,,37,0,1,,,,,,0,,,,71,0
384,note_on,,11,0,1,,,,,,0,,,,74,94
421,note_off,,37,0,1,,,,,,0,,,,74,0
432,note_on,,11,0,1,,,,,,0,,,,72,94
469,note_off,,37,0,1,,,,,,0,,,,72,0
480,note_on,,11,0,1,,,,,,0,,,,76,94
517,note_off,,37,0,1,,,,,,0,,,,76,0
528,note_on,,11,0,1,,,,,,0,,,,74,94
565,note_off,,37,0,1,,,,,,0,,,,74,0
576,note_on,,11,0,1,,,,,,0,,,,77,94
613,note_off,,37,0,1,,,,,,0,,,,77,0
624,note_on,,11,0,1,,,,,,0,,,,76,94
661,note_off,,37,0,1,,,,,,0,,,,76,0
672,note_on,,11,0,1,,,,,,0,,,,79,94
709,note_off,,37,0,1,,,,,,0,,,,79,0
720,note_on,,11,0,1,,,,,,0,,,,77,94
757,note_off,,37,0,1,,,,,,0,,,,77,0
768,note_on,,11,0,1,,,,,,0,,,,77,94
768,note_on,,0,0,1,,,,,,0,,,,74,94
768,note_on,,0,0,2,,,,,,1,,,,41,94
768,note_on,,500,0,2,,,,,,1,,,,53,94
768,note_on,,0,0,1,,,,,,0,,,,81,94
768,note_on,,0,0,1,,,,,,0,,,,69,94
920,note_off,,0,0,1,,,,,,0,,,,77,0
920,note_off,,0,0,1,,,,,,0,,,,74,0
920,note_off,,0,0,2,,,,,,1,,,,53,0
920,note_off,,152,0,1,,,,,,0,,,,69,0
920,note_off,,0,0,1,,,,,,0,,,,81,0
920,note_off,,152,0,2,,,,,,1,,,,41,0
960,note_on,,40,0,1,,,,,,0,,,,79,94
997,note_off,,37,0,1,,,,,,0,,,,79,0
1008,note_on,,11,0,1,,,,,,0,,,,77,94
1045,note_off,,37,0,1,,,,,,0,,,,77,0
1056,note_on,,11,0,1,,,,,,0,,,,76,94
1093,note_off,,37,0,1,,,,,,0,,,,76,0
1104,note_on,,11,0,1,,,,,,0,,,,74,94
1141,note_off,,37,0,1,,,,,,0,,,,74,0
1152,note_on,,11,0,1,,,,,,0,,,,72,94
1169,note_off,,17,0,1,,,,,,0,,,,72,0
1176,note_on,,7,0,1,,,,,,0,,,,74,94
1193,note_off,,17,0,1,,,,,,0,,,,74,0
1200,note_on,,7,0,1,,,,,,0,,,,71,94
1237,note_off,,37,0,1,,,,,,0,,,,71,0
1248,note_on,,11,0,1,,,,,,0,,,,72,94
1248,note_on,,328,0,2,,,,,,1,,,,52,94
1285,note_off,,37,0,1,,,,,,0,,,,72,0
1296,note_on,,11,0,1,,,,,,0,,,,76,94
1324,note_off,,76,0,2,,,,,,1,,,,52,0
1333,note_off,,37,0,1,,,,,,0,,,,76,0
1344,note_on,,20,0,2,,,,,,1,,,,53,94
1344,note_on,,11,0,1,,,,,,0,,,,74,94
1381,note_off,,37,0,1,,,,,,0,,,,74,0
1392,note_on,,11,0,1,,,,,,0,,,,77,94
1420,note_off,,76,0,2,,,,,,1,,,,53,0
1429,note_off,,37,0,1,,,,,,0,,,,77,0
1440,note_on,,20,0,2,,,,,,1,,,,55,94
1440,note_on,,11,0,1,,,,,,0,,,,71,94
1477,note_off,,37,0,1,,,,,,0,,,,71,0
1488,note_on,,11,0,1,,,,,,0,,,,74,94
1516,note_off,,76,0,2,,,,,,1,,,,55,0
1525,note_off,,37,0,1,,,,,,0,,,,74,0
1536,note_on,,20,0,2,,,,,,1,,,,48,94
1536,note_on,,11,0,1,,,,,,0,,,,64,94
1536,note_on,,0,0,1,,,,,,0,,,,67,94
1536,note_on,,0,0,1,,,,,,0,,,,72,94
1573,note_off,,37,0,2,,,,,,1,,,,48,0
1584,note_on,,48,0,1,,,,,,0,,,,60,94
1621,note_off,,37,0,1,,,,,,0,,,,60,0
1632,note_on,,59,0,2,,,,,,1,,,,59,94
1669,note_off,,37,0,2,,,,,,1,,,,59,0
1680,note_on,,59,0,1,,,,,,0,,,,60,94
1688,note_off,,8,0,1,,,,,,0,,,,72,0
1688,note_off,,0,0,1,,,,,,0,,,,67,0
1688,note_off,,0,0,1,,,,,,0,,,,64,0
1717,note_off,,29,0,1,,,,,,0,,,,60,0
1728,note_on,,59,0,2,,,,,,1,,,,48,94
1765,note_off,,37,0,2,,,,,,1,,,,48,0
1824,note_on,,107,0,1,,,,,,0,,,,72,94
1861,note_off,,37,0,1,,,,,,0,,,,72,0
1872,note_on,,11,0,1,,,,,,0,,,,71,94
1909,note_off,,37,0,1,,,,,,0,,,,71,0
1920,note_on,,11,0,1,,,,,,0,,,,74,94
1957,note_off,,37,0,1,,,,,,0,,,,74,0
1968,note_on,,11,0,1,,,,,,0,,,,72,94
2005,note_off,,37,0,1,,,,,,0,,,,72,0
2016,note_on,,11,0,1,,,,,,0,,,,76,94
2053,note_off,,37,0,1,,,,,,0,,,,76,0
2064,note_on,,11,0,1,,,,,,0,,,,74,94
2101,note_off,,37,0,1,,,,,,0,,,,74,0
2112,note_on,,11,0,1,,,,,,0,,,,77,94
2149,note_off,,37,0,1,,,,,,0,,,,77,0
2160,note_on,,11,0,1,,,,,,0,,,,76,94
2197,note_off,,37,0,1,,,,,,0,,,,76,0
2208,note_on,,11,0,1,,,,,,0,,,,79,94
2245,note_off,,37,0,1,,,,,,0,,,,79,0
2256,note_on,,11,0,1,,,,,,0,,,,76,94
2293,note_off,,37,0,1,,,,,,0,,,,76,0
2304,note_on,,539,0,2,,,,,,1,,,,41,94
2304,note_on,,0,0,2,,,,,,1,,,,53,94
2304,note_on,,11,0,1,,,,,,0,,,,77,94
2304,note_on,,0,0,1,,,,,,0,,,,74,94
2304,note_on,,0,0,1,,,,,,0,,,,81,94
2304,note_on,,0,0,1,,,,,,0,,,,69,94
2456,note_off,,0,0,1,,,,,,0,,,,77,0
2456,note_off,,0,0,1,,,,,,0,,,,81,0
2456,note_off,,0,0,1,,,,,,0,,,,74,0
2456,note_off,,0,0,2,,,,,,1,,,,41,0
2456,note_off,,152,0,2,,,,,,1,,,,53,0
2456,note_off,,152,0,1,,,,,,0,,,,69,0
2496,note_on,,40,0,1,,,,,,0,,,,79,94
2533,note_off,,37,0,1,,,,,,0,,,,79,0
2544,note_on,,11,0,1,,,,,,0,,,,77,94
2581,note_off,,37,0,1,,,,,,0,,,,77,0
2592,note_on,,11,0,1,,,,,,0,,,,76,94
2629,note_off,,37,0,1,,,,,,0,,,,76,0
2640,note_on,,11,0,1,,,,,,0,,,,74,94
2677,note_off,,37,0,1,,,,,,0,,,,74,0
2688,note_on,,11,0,1,,,,,,0,,,,72,94
2705,note_off,,17,0,1,,,,,,0,,,,72,0
2712,note_on,,7,0,1,,,,,,0,,,,74,94
2729,note_off,,17,0,1,,,,,,0,,,,74,0
2736,note_on,,7,0,1,,,,,,0,,,,71,94
2773,note_off,,37,0,1,,,,,,0,,,,71,0
2784,note_on,,328,0,2,,,,,,1,,,,52,94
2784,note_on,,11,0,1,,,,,,0,,,,72,94
2821,note_off,,37,0,1,,,,,,0,,,,72,0
2832,note_on,,11,0,1,,,,,,0,,,,76,94
2860,note_off,,76,0,2,,,,,,1,,,,52,0
2869,note_off,,37,0,1,,,,,,0,,,,76,0
2880,note_on,,20,0,2,,,,,,1,,,,53,94
2880,note_on,,11,0,1,,,,,,0,,,,74,94
2917,note_off,,37,0,1,,,,,,0,,,,74,0
2928,note_on,,11,0,1,,,,,,0,,,,77,94
2956,note_off,,76,0,2,,,,,,1,,,,53,0
2965,note_off,,37,0,1,,,,,,0,,,,77,0
2976,note_on,,11,0,1,,,,,,0,,,,71,94
2976,note_on,,20,0,2,,,,,,1,,,,55,94
3013,note_off,,37,0,1,,,,,,0,,,,71,0
3024,note_on,,11,0,1,,,,,,0,,,,74,94
3052,note_off,,76,0,2,,,,,,1,,,,55,0
3061,note_off,,37,0,1,,,,,,0,,,,74,0
3072,note_on,,11,0,1,,,,,,0,,,,60,94
3072,note_on,,0,0,1,,,,,,0,,,,72,94
3109,note_off,,37,0,1,,,,,,0,,,,60,0
3120,note_on,,11,0,1,,,,,,0,,,,67,94
3148,note_off,,28,0,1,,,,,,0,,,,72,0
3157,note_off,,9,0,1,,,,,,0,,,,67,0
3168,note_on,,0,0,1,,,,,,0,,,,74,94
3168,note_on,,11,0,1,,,,,,0,,,,64,94
3189,note_off,,21,0,1,,,,,,0,,,,74,0
3192,note_on,,3,0,1,,,,,,0,,,,72,94
3205,note_off,,13,0,1,,,,,,0,,,,64,0
3216,note_on,,11,0,1,,,,,,0,,,,67,94
3229,note_off,,13,0,1,,,,,,0,,,,72,0
3240,note_on,,11,0,1,,,,,,0,,,,71,94
3253,note_off,,13,0,1,,,,,,0,,,,67,0
3264,note_on,,11,0,1,,,,,,0,,,,60,94
3277,note_off,,13,0,1,,,,,,0,,,,71,0
3288,note_on,,11,0,1,,,,,,0,,,,72,94
3301,note_off,,13,0,1,,,,,,0,,,,60,0
3312,note_on,,11,0,1,,,,,,0,,,,67,94
3349,note_off,,37,0,1,,,,,,0,,,,67,0
3360,note_on,,11,0,1,,,,,,0,,,,64,94
3364,note_off,,4,0,1,,,,,,0,,,,72,0
3384,note_on,,20,0,1,,,,,,0,,,,76,94
3397,note_off,,13,0,1,,,,,,0,,,,64,0
3408,note_on,,11,0,1,,,,,,0,,,,67,94
3445,note_off,,37,0,1,,,,,,0,,,,67,0
3456,note_on,,404,0,2,,,,,,1,,,,59,94
3460,note_off,,15,0,1,,,,,,0,,,,76,0
3480,note_on,,20,0,1,,,,,,0,,,,73,94
3493,note_off,,37,0,2,,,,,,1,,,,59,0
3504,note_on,,24,0,1,,,,,,0,,,,67,94
3541,note_off,,37,0,1,,,,,,0,,,,67,0
3552,note_on,,11,0,1,,,,,,0,,,,62,94
3589,note_off,,37,0,1,,,,,,0,,,,62,0
3600,note_on,,11,0,1,,,,,,0,,,,67,94
3632,note_off,,32,0,1,,,,,,0,,,,73,0
3637,note_off,,5,0,1,,,,,,0,,,,67,0
3648,note_on,,155,0,2,,,,,,1,,,,59,94
3672,note_on,,35,0,1,,,,,,0,,,,74,94
3685,note_off,,37,0,2,,,,,,1,,,,59,0
3696,note_on,,24,0,1,,,,,,0,,,,67,94
3733,note_off,,37,0,1,,,,,,0,,,,67,0
3744,note_on,,11,0,1,,,,,,0,,,,62,94
3748,note_off,,4,0,1,,,,,,0,,,,74,0
