tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,key,tempo,port,program,channel,control,value,pitch,note,velocity
0,time_signature,3,4,24,8,0,1,0,,,,,,,,,,
0,midi_port,,,,,0,1,6,,,0,,,,,,,
0,track_name,,,,,0,1,6,,,,,,,,,,
0,program_change,,,,,0,0,6,,,,48,5,,,,,
0,control_change,,,,,0,0,6,,,,,5,7,120,,,
0,control_change,,,,,0,0,6,,,,,5,10,127,,,
0,track_name,,,,,0,1,3,,,,,,,,,,
0,midi_port,,,,,0,1,7,,,0,,,,,,,
0,track_name,,,,,0,1,7,,,,,,,,,,
0,program_change,,,,,0,0,7,,,,48,6,,,,,
0,control_change,,,,,0,0,7,,,,,6,7,120,,,
0,control_change,,,,,0,0,7,,,,,6,10,48,,,
0,midi_port,,,,,0,1,8,,,0,,,,,,,
0,track_name,,,,,0,1,8,,,,,,,,,,
0,program_change,,,,,0,0,8,,,,48,7,,,,,
0,control_change,,,,,0,0,8,,,,,7,7,120,,,
0,control_change,,,,,0,0,8,,,,,7,10,96,,,
0,control_change,,,,,0,0,1,,,,,0,10,48,,,
0,control_change,,,,,0,0,1,,,,,0,7,120,,,
0,program_change,,,,,0,0,1,,,,68,0,,,,,
0,midi_port,,,,,0,1,9,,,0,,,,,,,
0,track_name,,,,,0,1,1,,,,,,,,,,
0,track_name,,,,,0,1,9,,,,,,,,,,
0,control_change,,,,,0,0,9,,,,,8,7,120,,,
0,program_change,,,,,0,0,3,,,,0,2,,,,,
0,control_change,,,,,0,0,3,,,,,2,7,120,,,
0,control_change,,,,,0,0,3,,,,,2,10,96,,,
0,midi_port,,,,,0,1,4,,,0,,,,,,,
0,track_name,,,,,0,1,4,,,,,,,,,,
0,program_change,,,,,0,0,4,,,,0,3,,,,,
0,control_change,,,,,0,0,4,,,,,3,7,120,,,
0,control_change,,,,,0,0,4,,,,,3,10,32,,,
0,midi_port,,,,,0,1,5,,,0,,,,,,,
0,track_name,,,,,0,1,5,,,,,,,,,,
0,program_change,,,,,0,0,5,,,,48,4,,,,,
0,control_change,,,,,0,0,5,,,,,4,7,120,,,
0,control_change,,,,,0,0,5,,,,,4,10,0,,,
0,control_change,,,,,0,0,2,,,,,1,10,96,,,
0,control_change,,,,,0,0,2,,,,,1,7,120,,,
0,program_change,,,,,0,0,2,,,,60,1,,,,,
0,track_name,,,,,0,1,2,,,,,,,,,,
0,midi_port,,,,,0,1,2,,,0,,,,,,,
0,control_change,,,,,0,0,9,,,,,8,10,64,,,
