tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,key,tempo,port,program,channel,control,value,pitch,note,velocity
0,time_signature,2,4,24,8,0,1,0,,,,,,,,,,
0,control_change,,,,,0,0,5,,,,,4,7,120,,,
0,control_change,,,,,0,0,5,,,,,4,10,0,,,
0,pitchwheel,,,,,0,0,5,,,,,4,,,0,,
0,midi_port,,,,,0,1,4,,,0,,,,,,,
0,track_name,,,,,0,1,4,,,,,,,,,,
0,program_change,,,,,0,0,4,,,,0,3,,,,,
0,control_change,,,,,0,0,4,,,,,3,7,120,,,
0,control_change,,,,,0,0,4,,,,,3,10,32,,,
0,track_name,,,,,0,1,2,,,,,,,,,,
0,control_change,,,,,0,0,1,,,,,0,10,48,,,
0,control_change,,,,,0,0,1,,,,,0,7,120,,,
0,program_change,,,,,0,0,1,,,,68,0,,,,,
0,track_name,,,,,0,1,1,,,,,,,,,,
0,midi_port,,,,,0,1,1,,,0,,,,,,,
0,midi_port,,,,,0,1,6,,,0,,,,,,,
0,track_name,,,,,0,1,6,,,,,,,,,,
0,program_change,,,,,0,0,6,,,,48,5,,,,,
0,program_change,,,,,0,0,5,,,,48,4,,,,,
0,control_change,,,,,0,0,6,,,,,5,7,120,,,
0,control_change,,,,,0,0,8,,,,,7,10,96,,,
0,program_change,,,,,0,0,8,,,,48,7,,,,,
0,program_change,,,,,0,0,2,,,,60,1,,,,,
0,control_change,,,,,0,0,2,,,,,1,7,120,,,
0,control_change,,,,,0,0,2,,,,,1,10,80,,,
0,midi_port,,,,,0,1,3,,,0,,,,,,,
0,track_name,,,,,0,1,3,,,,,,,,,,
0,program_change,,,,,0,0,3,,,,0,2,,,,,
0,control_change,,,,,0,0,3,,,,,2,7,120,,,
0,control_change,,,,,0,0,3,,,,,2,10,96,,,
0,control_change,,,,,0,0,9,,,,,8,10,64,,,
0,control_change,,,,,0,0,9,,,,,8,7,120,,,
0,program_change,,,,,0,0,9,,,,43,8,,,,,
0,track_name,,,,,0,1,9,,,,,,,,,,
0,midi_port,,,,,0,1,9,,,0,,,,,,,
0,track_name,,,,,0,1,5,,,,,,,,,,
0,midi_port,,,,,0,1,5,,,0,,,,,,,
0,midi_port,,,,,0,1,8,,,0,,,,,,,
0,track_name,,,,,0,1,8,,,,,,,,,,
0,control_change,,,,,0,0,8,,,,,7,7,120,,,
0,control_change,,,,,0,0,6,,,,,5,10,127,,,
0,midi_port,,,,,0,1,2,,,0,,,,,,,
0,track_name,,,,,0,1,7,,,,,,,,,,
0,key_signature,,,,,0,1,0,Bb,,,,,,,,,
0,set_tempo,,,,,0,1,0,,1578947,,,,,,,,
0,marker,,,,,0,1,0,,,,,,,,,,
0,program_change,,,,,0,0,7,,,,48,6,,,,,
0,control_change,,,,,0,0,7,,,,,6,7,120,,,
0,control_change,,,,,0,0,7,,,,,6,10,32,,,
0,marker,,,,,0,1,0,,,,,,,,,,
0,marker,,,,,0,1,0,,,,,,,,,,
0,marker,,,,,0,1,0,,,,,,,,,,
0,marker,,,,,0,1,0,,,,,,,,,,
0,midi_port,,,,,0,1,7,,,0,,,,,,,
1,pitchwheel,,,,,1,0,7,,,,,6,,,0,,
1,pitchwheel,,,,,1,0,3,,,,,2,,,0,,
2,pitchwheel,,,,,2,0,1,,,,,0,,,0,,
3,pitchwheel,,,,,3,0,9,,,,,8,,,0,,
3,pitchwheel,,,,,3,0,4,,,,,3,,,0,,
4,pitchwheel,,,,,4,0,8,,,,,7,,,0,,
4,pitchwheel,,,,,4,0,2,,,,,1,,,0,,
5,pitchwheel,,,,,5,0,6,,,,,5,,,0,,
97,pitchwheel,,,,,96,0,3,,,,,2,,,100,,
97,pitchwheel,,,,,96,0,7,,,,,6,,,-100,,
98,pitchwheel,,,,,96,0,1,,,,,0,,,100,,
99,pitchwheel,,,,,96,0,9,,,,,8,,,-100,,
99,pitchwheel,,,,,96,0,4,,,,,3,,,-100,,
100,pitchwheel,,,,,96,0,8,,,,,7,,,100,,
100,pitchwheel,,,,,96,0,2,,,,,1,,,-100,,
101,pitchwheel,,,,,96,0,6,,,,,5,,,100,,
192,control_change,,,,,192,0,5,,,,,4,91,64,,,
193,control_change,,,,,96,0,3,,,,,2,91,64,,,
193,control_change,,,,,96,0,7,,,,,6,91,42,,,
194,control_change,,,,,96,0,1,,,,,0,91,73,,,
195,control_change,,,,,96,0,9,,,,,8,91,112,,,
195,control_change,,,,,96,0,4,,,,,3,91,96,,,
196,control_change,,,,,96,0,2,,,,,1,91,106,,,
196,control_change,,,,,96,0,8,,,,,7,91,68,,,
197,control_change,,,,,96,0,6,,,,,5,91,64,,,
242,control_change,,,,,50,0,5,,,,,4,93,14,,,
243,control_change,,,,,50,0,3,,,,,2,93,2,,,
243,control_change,,,,,50,0,7,,,,,6,93,12,,,
244,control_change,,,,,50,0,1,,,,,0,93,4,,,
245,control_change,,,,,50,0,4,,,,,3,93,2,,,
245,control_change,,,,,50,0,9,,,,,8,93,64,,,
246,control_change,,,,,50,0,8,,,,,7,93,8,,,
246,control_change,,,,,50,0,2,,,,,1,93,8,,,
247,control_change,,,,,50,0,6,,,,,5,93,14,,,
384,note_on,,,,,142,0,5,,,,,4,,,,65,37
385,note_on,,,,,142,0,7,,,,,6,,,,65,37
387,note_on,,,,,142,0,9,,,,,8,,,,46,37
388,note_on,,,,,142,0,8,,,,,7,,,,58,37
389,note_on,,,,,142,0,6,,,,,5,,,,65,37
480,note_on,,,,,96,0,5,,,,,4,,,,65,0
480,note_on,,,,,0,0,5,,,,,4,,,,70,45
481,note_on,,,,,94,0,9,,,,,8,,,,46,0
482,note_on,,,,,94,0,8,,,,,7,,,,58,0
485,note_on,,,,,0,0,6,,,,,5,,,,62,45
485,note_on,,,,,96,0,6,,,,,5,,,,65,0
579,note_on,,,,,98,0,9,,,,,8,,,,41,37
580,note_on,,,,,98,0,8,,,,,7,,,,53,37
672,note_on,,,,,0,0,5,,,,,4,,,,69,45
672,note_on,,,,,192,0,5,,,,,4,,,,70,0
673,note_on,,,,,94,0,9,,,,,8,,,,41,0
674,note_on,,,,,94,0,8,,,,,7,,,,53,0
677,note_on,,,,,0,0,6,,,,,5,,,,60,45
677,note_on,,,,,192,0,6,,,,,5,,,,62,0
766,note_on,,,,,94,0,5,,,,,4,,,,69,0
768,note_on,,,,,2,0,5,,,,,4,,,,70,45
771,note_on,,,,,98,0,9,,,,,8,,,,38,37
771,note_on,,,,,94,0,6,,,,,5,,,,60,0
772,note_on,,,,,98,0,8,,,,,7,,,,50,37
773,note_on,,,,,2,0,6,,,,,5,,,,58,45
864,note_on,,,,,96,0,5,,,,,4,,,,70,0
864,note_on,,,,,0,0,5,,,,,4,,,,74,45
865,note_on,,,,,94,0,9,,,,,8,,,,38,0
866,note_on,,,,,94,0,8,,,,,7,,,,50,0
869,note_on,,,,,0,0,6,,,,,5,,,,65,45
869,note_on,,,,,96,0,6,,,,,5,,,,58,0
963,note_on,,,,,98,0,9,,,,,8,,,,33,37
964,note_on,,,,,98,0,8,,,,,7,,,,45,37
1056,note_on,,,,,0,0,5,,,,,4,,,,72,45
1056,note_on,,,,,192,0,5,,,,,4,,,,74,0
1057,note_on,,,,,94,0,9,,,,,8,,,,33,0
1058,note_on,,,,,94,0,8,,,,,7,,,,45,0
1061,note_on,,,,,0,0,6,,,,,5,,,,63,45
1061,note_on,,,,,192,0,6,,,,,5,,,,65,0
1150,note_on,,,,,94,0,5,,,,,4,,,,72,0
1152,note_on,,,,,2,0,5,,,,,4,,,,70,45
1155,note_on,,,,,98,0,9,,,,,8,,,,34,37
1155,note_on,,,,,94,0,6,,,,,5,,,,63,0
1156,note_on,,,,,98,0,8,,,,,7,,,,46,37
1157,note_on,,,,,2,0,6,,,,,5,,,,62,45
1248,note_on,,,,,0,0,5,,,,,4,,,,77,50
1248,set_tempo,,,,,1248,1,0,,1666667,,,,,,,,
1248,note_on,,,,,96,0,5,,,,,4,,,,70,0
1249,note_on,,,,,94,0,9,,,,,8,,,,34,0
1250,note_on,,,,,94,0,8,,,,,7,,,,46,0
1253,note_on,,,,,0,0,6,,,,,5,,,,74,50
1253,note_on,,,,,96,0,6,,,,,5,,,,62,0
1345,note_on,,,,,0,0,7,,,,,6,,,,57,37
1345,note_on,,,,,960,0,7,,,,,6,,,,65,0
1347,note_on,,,,,98,0,9,,,,,8,,,,41,37
1348,note_on,,,,,98,0,8,,,,,7,,,,53,37
1440,note_on,,,,,0,0,5,,,,,4,,,,75,45
1440,note_on,,,,,192,0,5,,,,,4,,,,77,0
1440,set_tempo,,,,,192,1,0,,1578947,,,,,,,,
1441,note_on,,,,,94,0,9,,,,,8,,,,41,0
1442,note_on,,,,,94,0,8,,,,,7,,,,53,0
1445,note_on,,,,,192,0,6,,,,,5,,,,74,0
1445,note_on,,,,,0,0,6,,,,,5,,,,72,45
1505,note_on,,,,,160,0,7,,,,,6,,,,57,0
1534,note_on,,,,,94,0,5,,,,,4,,,,75,0
1536,note_on,,,,,2,0,5,,,,,4,,,,75,63
1536,set_tempo,,,,,96,1,0,,2000000,,,,,,,,
1537,note_on,,,,,32,0,7,,,,,6,,,,58,63
1539,note_on,,,,,98,0,9,,,,,8,,,,46,45
1539,note_on,,,,,94,0,6,,,,,5,,,,72,0
1540,note_on,,,,,98,0,8,,,,,7,,,,58,45
1541,note_on,,,,,2,0,6,,,,,5,,,,72,63
1631,note_on,,,,,94,0,7,,,,,6,,,,58,0
1632,set_tempo,,,,,96,1,0,,1578947,,,,,,,,
1633,note_on,,,,,2,0,7,,,,,6,,,,64,45
1633,note_on,,,,,94,0,9,,,,,8,,,,46,0
1634,note_on,,,,,94,0,8,,,,,7,,,,58,0
1656,note_on,,,,,120,0,5,,,,,4,,,,75,0
1656,note_on,,,,,0,0,5,,,,,4,,,,74,45
