tick,type,key,time,meta,track,tempo,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,control,value,channel,program,note,velocity
0,key_signature,G,0,1,0,,,,,,,,,,,
0,control_change,,0,0,2,,,,,,10,90,1,,,
0,program_change,,0,0,2,,,,,,,,1,0,,
0,note_on,,0,0,2,,,,,,,,1,,55,127
0,control_change,,0,0,2,,,,,,7,85,1,,,
0,note_on,,0,0,1,,,,,,,,0,,71,127
0,note_on,,0,0,1,,,,,,,,0,,79,127
0,track_name,,0,1,2,,,,,,,,,,,
0,control_change,,0,0,1,,,,,,10,35,0,,,
0,program_change,,0,0,1,,,,,,,,0,0,,
0,end_of_track,,0,1,0,,,,,,,,,,,
0,time_signature,,0,1,0,,2,4,24,8,,,,,,
0,set_tempo,,0,1,0,545454,,,,,,,,,,
0,track_name,,0,1,1,,,,,,,,,,,
0,control_change,,0,0,1,,,,,,7,90,0,,,
119,note_on,,119,0,1,,,,,,,,0,,71,0
119,note_on,,119,0,2,,,,,,,,1,,55,0
119,note_on,,0,0,1,,,,,,,,0,,79,0
120,note_on,,1,0,2,,,,,,,,1,,50,127
120,note_on,,1,0,1,,,,,,,,0,,79,127
150,note_on,,30,0,1,,,,,,,,0,,78,127
150,note_on,,0,0,1,,,,,,,,0,,79,0
180,note_on,,30,0,1,,,,,,,,0,,76,127
180,note_on,,0,0,1,,,,,,,,0,,78,0
210,note_on,,30,0,1,,,,,,,,0,,74,127
210,note_on,,0,0,1,,,,,,,,0,,76,0
240,note_on,,120,0,2,,,,,,,,1,,55,127
240,note_on,,0,0,2,,,,,,,,1,,50,0
240,note_on,,30,0,1,,,,,,,,0,,79,127
240,note_on,,0,0,1,,,,,,,,0,,74,0
265,note_on,,25,0,1,,,,,,,,0,,79,0
265,note_on,,25,0,2,,,,,,,,1,,55,0
300,note_on,,35,0,1,,,,,,,,0,,74,127
300,note_on,,35,0,2,,,,,,,,1,,50,127
325,note_on,,25,0,1,,,,,,,,0,,74,0
325,note_on,,25,0,2,,,,,,,,1,,50,0
360,note_on,,35,0,1,,,,,,,,0,,71,127
360,note_on,,35,0,2,,,,,,,,1,,47,127
385,note_on,,25,0,2,,,,,,,,1,,47,0
