tick,type,time,meta,track,tempo,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,port,control,value,channel,program,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,
0,control_change,0,0,3,,,,,,,7,127,2,,,
0,control_change,0,0,3,,,,,,,10,64,2,,,
0,program_change,0,0,3,,,,,,,,,2,71,,
0,note_on,0,0,3,,,,,,,,,2,,55,108
0,midi_port,0,1,4,,,,,,0,,,,,,
0,track_name,0,1,4,,,,,,,,,,,,
0,control_change,0,0,4,,,,,,,7,127,3,,,
0,track_name,0,1,3,,,,,,,,,,,,
0,control_change,0,0,4,,,,,,,10,64,3,,,
0,note_on,0,0,4,,,,,,,,,3,,48,108
0,track_name,0,1,2,,,,,,,,,,,,
0,midi_port,0,1,5,,,,,,0,,,,,,
0,track_name,0,1,5,,,,,,,,,,,,
0,control_change,0,0,5,,,,,,,7,127,4,,,
0,control_change,0,0,5,,,,,,,10,64,4,,,
0,program_change,0,0,5,,,,,,,,,4,0,,
0,program_change,0,0,4,,,,,,,,,3,71,,
0,note_on,0,0,5,,,,,,,,,4,,60,92
0,midi_port,0,1,3,,,,,,0,,,,,,
0,track_name,0,1,6,,,,,,,,,,,,
0,control_change,0,0,2,,,,,,,7,127,1,,,
0,control_change,0,0,2,,,,,,,10,64,1,,,
0,program_change,0,0,2,,,,,,,,,1,71,,
0,note_on,0,0,2,,,,,,,,,1,,64,108
0,note_on,0,0,7,,,,,,,,,6,,48,92
0,note_on,0,0,7,,,,,,,,,6,,36,92
0,program_change,0,0,7,,,,,,,,,6,0,,
0,midi_port,0,1,6,,,,,,0,,,,,,
0,control_change,0,0,7,,,,,,,10,64,6,,,
0,track_name,0,1,7,,,,,,,,,,,,
0,midi_port,0,1,7,,,,,,0,,,,,,
0,note_on,0,0,6,,,,,,,,,5,,67,92
0,note_on,0,0,6,,,,,,,,,5,,64,92
0,program_change,0,0,6,,,,,,,,,5,0,,
0,control_change,0,0,6,,,,,,,10,64,5,,,
0,control_change,0,0,6,,,,,,,7,127,5,,,
0,control_change,0,0,7,,,,,,,7,127,6,,,
0,note_on,0,0,5,,,,,,,,,4,,72,92
0,midi_port,0,1,2,,,,,,0,,,,,,
0,end_of_track,0,1,0,,,,,,,,,,,,
0,set_tempo,0,1,0,375000,,,,,,,,,,,
0,time_signature,0,1,0,,3,4,24,8,,,,,,,
0,midi_port,0,1,1,,,,,,0,,,,,,
0,control_change,0,0,1,,,,,,,7,127,0,,,
0,control_change,0,0,1,,,,,,,10,64,0,,,
0,program_change,0,0,1,,,,,,,,,0,71,,
0,note_on,0,0,1,,,,,,,,,0,,72,108
0,track_name,0,1,1,,,,,,,,,,,,
0,copyright,0,1,0,,,,,,,,,,,,
0,copyright,0,1,0,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,
94,note_on,94,0,7,,,,,,,,,6,,36,0
94,note_on,0,0,7,,,,,,,,,6,,48,0
96,note_on,2,0,7,,,,,,,,,6,,36,92
96,note_on,0,0,7,,,,,,,,,6,,48,92
160,note_on,160,0,5,,,,,,,,,4,,60,0
160,note_on,0,0,5,,,,,,,,,4,,72,0
190,note_on,94,0,7,,,,,,,,,6,,36,0
190,note_on,0,0,7,,,,,,,,,6,,48,0
192,note_on,2,0,7,,,,,,,,,6,,36,92
192,note_on,32,0,5,,,,,,,,,4,,60,92
192,note_on,0,0,7,,,,,,,,,6,,48,92
286,note_on,0,0,7,,,,,,,,,6,,48,0
286,note_on,94,0,5,,,,,,,,,4,,60,0
286,note_on,94,0,7,,,,,,,,,6,,36,0
288,note_on,2,0,7,,,,,,,,,6,,36,92
288,note_on,0,0,7,,,,,,,,,6,,48,92
288,note_on,2,0,5,,,,,,,,,4,,72,92
382,note_on,94,0,5,,,,,,,,,4,,72,0
382,note_on,94,0,7,,,,,,,,,6,,36,0
382,note_on,0,0,7,,,,,,,,,6,,48,0
384,note_on,2,0,5,,,,,,,,,4,,72,92
