tick,type,time,meta,track,tempo,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,port,program,channel,control,value,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,,
0,track_name,0,1,2,,,,,,,,,,,,,
0,control_change,0,0,1,,,,,,,,,0,91,84,,
0,control_change,0,0,1,,,,,,,,,0,93,84,,
0,note_on,0,0,1,,,,,,,,,0,,,81,60
0,note_on,0,0,2,,,,,,,,,1,,,66,30
0,note_on,0,0,2,,,,,,,,,1,,,62,30
0,control_change,0,0,1,,,,,,,,,0,10,112,,
0,control_change,0,0,2,,,,,,,,,1,93,84,,
0,control_change,0,0,2,,,,,,,,,1,10,10,,
0,control_change,0,0,2,,,,,,,,,1,10,10,,
0,control_change,0,0,2,,,,,,,,,1,7,127,,
0,control_change,0,0,2,,,,,,,,,1,7,127,,
0,program_change,0,0,2,,,,,,,,0,1,,,,
0,program_change,0,0,2,,,,,,,,0,1,,,,
0,control_change,0,0,2,,,,,,,,,1,91,84,,
0,control_change,0,0,1,,,,,,,,,0,7,127,,
0,control_change,0,0,1,,,,,,,,,0,10,112,,
0,program_change,0,0,1,,,,,,,,0,0,,,,
0,text,0,1,0,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,
0,copyright,0,1,0,,,,,,,,,,,,,
0,copyright,0,1,0,,,,,,,,,,,,,
0,set_tempo,0,1,0,333333,,,,,,,,,,,,
0,set_tempo,0,1,0,333333,,,,,,,,,,,,
0,time_signature,0,1,0,,4,4,24,8,,,,,,,,
0,key_signature,0,1,0,,,,,,D,,,,,,,
0,control_change,0,0,1,,,,,,,,,0,7,127,,
0,midi_port,0,1,2,,,,,,,0,,,,,,
0,midi_port,0,1,1,,,,,,,0,,,,,,
0,track_name,0,1,1,,,,,,,,,,,,,
0,program_change,0,0,1,,,,,,,,0,0,,,,
94,note_on,94,0,2,,,,,,,,,1,,,66,0
96,note_on,2,0,2,,,,,,,,,1,,,69,30
160,note_on,64,0,2,,,,,,,,,1,,,62,0
190,note_on,30,0,2,,,,,,,,,1,,,69,0
192,note_on,2,0,2,,,,,,,,,1,,,62,30
192,note_on,0,0,2,,,,,,,,,1,,,66,30
286,note_on,94,0,2,,,,,,,,,1,,,66,0
288,note_on,2,0,2,,,,,,,,,1,,,69,30
336,note_on,336,0,1,,,,,,,,,0,,,81,0
352,note_on,64,0,2,,,,,,,,,1,,,62,0
382,note_on,30,0,2,,,,,,,,,1,,,69,0
384,note_on,48,0,1,,,,,,,,,0,,,79,60
384,note_on,2,0,2,,,,,,,,,1,,,62,30
384,note_on,0,0,2,,,,,,,,,1,,,66,30
430,note_on,46,0,1,,,,,,,,,0,,,79,0
432,note_on,2,0,1,,,,,,,,,0,,,78,60
478,note_on,94,0,2,,,,,,,,,1,,,66,0
480,note_on,2,0,2,,,,,,,,,1,,,69,30
544,note_on,64,0,2,,,,,,,,,1,,,62,0
574,note_on,30,0,2,,,,,,,,,1,,,69,0
574,note_on,142,0,1,,,,,,,,,0,,,78,0
576,note_on,2,0,2,,,,,,,,,1,,,62,30
576,note_on,2,0,1,,,,,,,,,0,,,76,60
576,note_on,0,0,2,,,,,,,,,1,,,66,30
622,note_on,46,0,1,,,,,,,,,0,,,76,0
624,note_on,2,0,1,,,,,,,,,0,,,74,60
670,note_on,94,0,2,,,,,,,,,1,,,66,0
672,note_on,2,0,2,,,,,,,,,1,,,69,30
736,note_on,64,0,2,,,,,,,,,1,,,62,0
766,note_on,142,0,1,,,,,,,,,0,,,74,0
766,note_on,30,0,2,,,,,,,,,1,,,69,0
768,note_on,2,0,1,,,,,,,,,0,,,79,60
768,note_on,0,0,2,,,,,,,,,1,,,67,30
768,note_on,2,0,2,,,,,,,,,1,,,64,30
862,note_on,94,0,2,,,,,,,,,1,,,67,0
864,note_on,2,0,2,,,,,,,,,1,,,69,30
928,note_on,64,0,2,,,,,,,,,1,,,64,0
958,note_on,30,0,2,,,,,,,,,1,,,69,0
960,note_on,2,0,2,,,,,,,,,1,,,64,30
960,note_on,0,0,2,,,,,,,,,1,,,67,30
1054,note_on,94,0,2,,,,,,,,,1,,,67,0
1056,note_on,2,0,2,,,,,,,,,1,,,69,30
1056,note_on,0,0,1,,,,,,,,,0,,,76,60
