tick,type,key,time,meta,track,data,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,tempo,port,control,value,channel,pitch,program,note,velocity
0,key_signature,Eb,0,1,0,,,,,,,,,,,,,,
0,track_name,,0,1,11,,,,,,,,,,,,,,
0,midi_port,,0,1,11,,,,,,,0,,,,,,,
0,track_name,,0,1,10,,,,,,,,,,,,,,
0,midi_port,,0,1,10,,,,,,,0,,,,,,,
0,track_name,,0,1,9,,,,,,,,,,,,,,
0,midi_port,,0,1,9,,,,,,,0,,,,,,,
0,track_name,,0,1,8,,,,,,,,,,,,,,
0,midi_port,,0,1,8,,,,,,,0,,,,,,,
0,track_name,,0,1,12,,,,,,,,,,,,,,
0,track_name,,0,1,3,,,,,,,,,,,,,,
0,midi_port,,0,1,3,,,,,,,0,,,,,,,
0,midi_port,,0,1,5,,,,,,,0,,,,,,,
0,track_name,,0,1,5,,,,,,,,,,,,,,
0,track_name,,0,1,13,,,,,,,,,,,,,,
0,midi_port,,0,1,13,,,,,,,0,,,,,,,
0,midi_port,,0,1,6,,,,,,,0,,,,,,,
0,track_name,,0,1,6,,,,,,,,,,,,,,
0,track_name,,0,1,7,,,,,,,,,,,,,,
0,midi_port,,0,1,7,,,,,,,0,,,,,,,
0,midi_port,,0,1,2,,,,,,,0,,,,,,,
0,track_name,,0,1,2,,,,,,,,,,,,,,
0,track_name,,0,1,1,,,,,,,,,,,,,,
0,midi_port,,0,1,1,,,,,,,0,,,,,,,
0,midi_port,,0,1,12,,,,,,,0,,,,,,,
0,set_tempo,,0,1,0,,,,,,300000,,,,,,,,
0,midi_port,,0,1,4,,,,,,,0,,,,,,,
0,midi_port,,0,1,14,,,,,,,0,,,,,,,
0,sysex,,0,0,0,"(65, 16, 66, 18, 64, 0, 127, 0, 65)",,,,,,,,,,,,,
0,track_name,,0,1,14,,,,,,,,,,,,,,
0,sysex,,0,0,0,"(65, 16, 69, 18, 16, 0, 0, 67, 111, 112, 121, 114, 105, 103, 104, 116, 32, 49, 57, 57, 57, 44, 32, 74, 32, 67, 32, 87, 97, 104, 108, 115, 116, 114, 111, 109, 97)",,,,,,,,,,,,,
0,time_signature,,0,1,0,,4,4,24,8,,,,,,,,,
0,sysex,,0,0,0,"(65, 16, 66, 18, 64, 1, 48, 3, 12)",,,,,,,,,,,,,
0,track_name,,0,1,4,,,,,,,,,,,,,,
20,control_change,,20,0,12,,,,,,,,121,0,11,,,,
20,control_change,,20,0,10,,,,,,,,121,0,8,,,,
20,control_change,,20,0,14,,,,,,,,121,0,13,,,,
20,control_change,,20,0,3,,,,,,,,121,0,2,,,,
20,control_change,,20,0,9,,,,,,,,121,0,9,,,,
20,control_change,,20,0,5,,,,,,,,121,0,4,,,,
20,control_change,,20,0,2,,,,,,,,121,0,1,,,,
20,control_change,,20,0,13,,,,,,,,121,0,12,,,,
