tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,data,tempo,control,value,channel,program,key,pitch,note,velocity
0,time_signature,3,4,96,8,0,1,0,,,,,,,,,,
0,track_name,,,,,0,1,5,,,,,,,,,,
0,end_of_track,,,,,0,1,4,,,,,,,,,,
0,key_signature,,,,,0,1,4,,,,,,,Dm,,,
0,track_name,,,,,0,1,4,,,,,,,,,,
0,end_of_track,,,,,0,1,3,,,,,,,,,,
0,key_signature,,,,,0,1,3,,,,,,,Dm,,,
0,track_name,,,,,0,1,3,,,,,,,,,,
0,key_signature,,,,,0,1,2,,,,,,,Dm,,,
0,program_change,,,,,0,0,2,,,,,1,0,,,,
0,control_change,,,,,0,0,2,,,121,127,1,,,,,
0,control_change,,,,,0,0,2,,,93,35,1,,,,,
0,control_change,,,,,0,0,2,,,91,67,1,,,,,
0,control_change,,,,,0,0,2,,,10,54,1,,,,,
0,control_change,,,,,0,0,2,,,7,121,1,,,,,
0,control_change,,,,,0,0,2,,,0,0,1,,,,,
0,key_signature,,,,,0,1,5,,,,,,,Dm,,,
0,end_of_track,,,,,0,1,5,,,,,,,,,,
0,key_signature,,,,,0,1,6,,,,,,,Dm,,,
0,end_of_track,,,,,0,1,6,,,,,,,,,,
0,end_of_track,,,,,0,1,14,,,,,,,,,,
0,key_signature,,,,,0,1,14,,,,,,,Dm,,,
0,end_of_track,,,,,0,1,13,,,,,,,,,,
0,key_signature,,,,,0,1,13,,,,,,,Dm,,,
0,end_of_track,,,,,0,1,12,,,,,,,,,,
0,key_signature,,,,,0,1,12,,,,,,,Dm,,,
0,end_of_track,,,,,0,1,11,,,,,,,,,,
0,track_name,,,,,0,1,2,,,,,,,,,,
0,key_signature,,,,,0,1,11,,,,,,,Dm,,,
0,key_signature,,,,,0,1,10,,,,,,,Dm,,,
0,end_of_track,,,,,0,1,9,,,,,,,,,,
0,key_signature,,,,,0,1,9,,,,,,,Dm,,,
0,end_of_track,,,,,0,1,8,,,,,,,,,,
0,key_signature,,,,,0,1,8,,,,,,,Dm,,,
