tick,type,time,meta,track,tempo,key,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,control,value,channel,program,pitch,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,,
0,track_name,0,1,25,,,,,,,,,,,,,
0,track_name,0,1,24,,,,,,,,,,,,,
0,track_name,0,1,23,,,,,,,,,,,,,
0,track_name,0,1,22,,,,,,,,,,,,,
0,track_name,0,1,21,,,,,,,,,,,,,
0,track_name,0,1,20,,,,,,,,,,,,,
0,track_name,0,1,19,,,,,,,,,,,,,
0,track_name,0,1,18,,,,,,,,,,,,,
0,track_name,0,1,17,,,,,,,,,,,,,
0,track_name,0,1,16,,,,,,,,,,,,,
0,track_name,0,1,15,,,,,,,,,,,,,
0,track_name,0,1,14,,,,,,,,,,,,,
0,track_name,0,1,13,,,,,,,,,,,,,
0,track_name,0,1,12,,,,,,,,,,,,,
0,track_name,0,1,11,,,,,,,,,,,,,
0,track_name,0,1,10,,,,,,,,,,,,,
0,track_name,0,1,9,,,,,,,,,,,,,
0,track_name,0,1,3,,,,,,,,,,,,,
0,control_change,0,0,3,,,,,,,7,115,2,,,,
0,track_name,0,1,4,,,,,,,,,,,,,
0,control_change,0,0,4,,,,,,,7,75,3,,,,
0,track_name,0,1,5,,,,,,,,,,,,,
0,control_change,0,0,5,,,,,,,7,65,4,,,,
0,track_name,0,1,26,,,,,,,,,,,,,
0,track_name,0,1,35,,,,,,,,,,,,,
0,control_change,0,0,6,,,,,,,7,65,5,,,,
0,track_name,0,1,7,,,,,,,,,,,,,
0,control_change,0,0,7,,,,,,,7,70,6,,,,
0,control_change,0,0,2,,,,,,,7,70,1,,,,
0,track_name,0,1,8,,,,,,,,,,,,,
0,control_change,0,0,8,,,,,,,7,65,7,,,,
0,track_name,0,1,6,,,,,,,,,,,,,
0,track_name,0,1,27,,,,,,,,,,,,,
0,track_name,0,1,2,,,,,,,,,,,,,
0,track_name,0,1,29,,,,,,,,,,,,,
0,track_name,0,1,1,,,,,,,,,,,,,
0,control_change,0,0,1,,,,,,,7,70,0,,,,
0,time_signature,0,1,0,,,4,4,24,8,,,,,,,
0,track_name,0,1,33,,,,,,,,,,,,,
0,track_name,0,1,34,,,,,,,,,,,,,
0,track_name,0,1,31,,,,,,,,,,,,,
0,key_signature,0,1,0,,Eb,,,,,,,,,,,
0,set_tempo,0,1,0,517241,,,,,,,,,,,,
0,track_name,0,1,30,,,,,,,,,,,,,
0,track_name,0,1,28,,,,,,,,,,,,,
0,track_name,0,1,32,,,,,,,,,,,,,
160,control_change,160,0,6,,,,,,,91,100,5,,,,
160,control_change,160,0,3,,,,,,,91,100,2,,,,
160,control_change,160,0,8,,,,,,,91,100,7,,,,
160,control_change,160,0,2,,,,,,,91,100,1,,,,
160,control_change,160,0,1,,,,,,,91,100,0,,,,
160,control_change,160,0,7,,,,,,,91,100,6,,,,
160,control_change,160,0,5,,,,,,,91,100,4,,,,
160,control_change,160,0,4,,,,,,,91,100,3,,,,
320,control_change,160,0,4,,,,,,,93,50,3,,,,
320,control_change,160,0,1,,,,,,,93,10,0,,,,
320,control_change,160,0,2,,,,,,,93,10,1,,,,
320,control_change,160,0,7,,,,,,,93,30,6,,,,
320,control_change,160,0,5,,,,,,,93,50,4,,,,
320,control_change,160,0,3,,,,,,,93,10,2,,,,
320,control_change,160,0,6,,,,,,,93,30,5,,,,
320,control_change,160,0,8,,,,,,,93,20,7,,,,
480,control_change,160,0,8,,,,,,,10,80,7,,,,
480,control_change,160,0,1,,,,,,,10,20,0,,,,
480,control_change,160,0,7,,,,,,,10,70,6,,,,
480,control_change,160,0,5,,,,,,,10,95,4,,,,
480,control_change,160,0,6,,,,,,,10,110,5,,,,
480,control_change,160,0,4,,,,,,,10,15,3,,,,
