tick,type,time,meta,track,data,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,control,value,channel,program,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,,
0,track_name,0,1,1,,,,,,,,,,,,,
0,set_tempo,0,1,0,,,,,,,857143,,,,,,
0,key_signature,0,1,0,,,,,,C,,,,,,,
0,track_name,0,1,2,,,,,,,,,,,,,
0,sysex,0,0,0,"(126, 127, 9, 1)",,,,,,,,,,,,
0,time_signature,0,1,0,,4,4,24,8,,,,,,,,
0,copyright,0,1,0,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,
120,control_change,120,0,1,,,,,,,,0,0,0,,,
120,control_change,120,0,8,,,,,,,,91,96,7,,,
120,control_change,120,0,7,,,,,,,,91,96,6,,,
120,control_change,120,0,2,,,,,,,,91,127,1,,,
120,control_change,120,0,6,,,,,,,,91,96,5,,,
120,control_change,120,0,5,,,,,,,,91,96,4,,,
120,control_change,0,0,1,,,,,,,,91,127,0,,,
120,control_change,120,0,9,,,,,,,,91,96,8,,,
120,control_change,120,0,11,,,,,,,,91,96,10,,,
120,control_change,120,0,3,,,,,,,,91,96,2,,,
120,control_change,120,0,4,,,,,,,,91,96,3,,,
121,control_change,1,0,1,,,,,,,,32,0,0,,,
122,program_change,1,0,1,,,,,,,,,,0,0,,
123,control_change,1,0,1,,,,,,,,7,120,0,,,
125,control_change,5,0,2,,,,,,,,0,0,1,,,
126,control_change,1,0,2,,,,,,,,32,0,1,,,
127,program_change,1,0,2,,,,,,,,,,1,0,,
128,control_change,1,0,2,,,,,,,,7,120,1,,,
130,control_change,10,0,3,,,,,,,,0,0,2,,,
131,control_change,1,0,3,,,,,,,,32,0,2,,,
132,program_change,1,0,3,,,,,,,,,,2,73,,
133,control_change,0,0,3,,,,,,,,10,64,2,,,
133,control_change,1,0,3,,,,,,,,7,90,2,,,
135,control_change,15,0,4,,,,,,,,0,0,3,,,
136,control_change,1,0,4,,,,,,,,32,0,3,,,
137,program_change,1,0,4,,,,,,,,,,3,68,,
138,control_change,0,0,4,,,,,,,,10,64,3,,,
138,control_change,1,0,4,,,,,,,,7,70,3,,,
140,control_change,20,0,5,,,,,,,,0,0,4,,,
141,control_change,1,0,5,,,,,,,,32,0,4,,,
142,program_change,1,0,5,,,,,,,,,,4,70,,
143,control_change,1,0,5,,,,,,,,7,70,4,,,
143,control_change,0,0,5,,,,,,,,10,64,4,,,
145,control_change,25,0,6,,,,,,,,0,0,5,,,
146,control_change,1,0,6,,,,,,,,32,0,5,,,
147,program_change,1,0,6,,,,,,,,,,5,60,,
148,control_change,0,0,6,,,,,,,,10,64,5,,,
148,control_change,0,0,6,,,,,,,,7,70,5,,,
148,control_change,1,0,6,,,,,,,,7,70,5,,,
150,control_change,30,0,7,,,,,,,,0,0,6,,,
151,control_change,1,0,7,,,,,,,,32,0,6,,,
152,program_change,1,0,7,,,,,,,,,,6,48,,
153,control_change,1,0,7,,,,,,,,7,80,6,,,
153,control_change,0,0,7,,,,,,,,10,64,6,,,
155,control_change,35,0,8,,,,,,,,0,0,7,,,
156,control_change,1,0,8,,,,,,,,32,0,7,,,
157,program_change,1,0,8,,,,,,,,,,7,48,,
158,control_change,1,0,8,,,,,,,,7,80,7,,,
158,control_change,0,0,8,,,,,,,,10,64,7,,,
160,control_change,40,0,9,,,,,,,,0,0,8,,,
161,control_change,1,0,9,,,,,,,,32,0,8,,,
162,program_change,1,0,9,,,,,,,,,,8,48,,
163,control_change,1,0,9,,,,,,,,7,80,8,,,
163,control_change,0,0,9,,,,,,,,10,64,8,,,
165,control_change,2,0,9,,,,,,,,7,80,8,,,
165,control_change,165,0,10,,,,,,,,0,127,9,,,
166,control_change,1,0,10,,,,,,,,32,0,9,,,
167,program_change,1,0,10,,,,,,,,,,9,0,,
168,control_change,0,0,10,,,,,,,,10,64,9,,,
168,end_of_track,0,1,10,,,,,,,,,,,,,
168,control_change,1,0,10,,,,,,,,7,0,9,,,
170,control_change,50,0,11,,,,,,,,0,0,10,,,
171,control_change,1,0,11,,,,,,,,32,0,10,,,
172,program_change,1,0,11,,,,,,,,,,10,48,,
173,control_change,1,0,11,,,,,,,,7,80,10,,,
173,control_change,0,0,11,,,,,,,,10,64,10,,,
185,control_change,27,0,8,,,,,,,,7,80,7,,,
190,control_change,47,0,5,,,,,,,,7,70,4,,,
195,control_change,57,0,4,,,,,,,,7,70,3,,,
215,control_change,62,0,7,,,,,,,,7,80,6,,,
240,control_change,107,0,3,,,,,,,,7,90,2,,,
240,control_change,67,0,11,,,,,,,,7,80,10,,,
475,control_change,347,0,2,,,,,,,,91,127,1,,,
480,note_on,0,0,2,,,,,,,,,,1,,57,31
480,note_on,0,0,2,,,,,,,,,,1,,61,31
480,note_on,0,0,1,,,,,,,,,,0,,76,39
480,key_signature,480,1,0,,,,,,A,,,,,,,
480,control_change,5,0,2,,,,,,,,91,80,1,,,
480,control_change,357,0,1,,,,,,,,91,127,0,,,
540,note_on,0,0,2,,,,,,,,,,1,,64,31
540,note_on,60,0,2,,,,,,,,,,1,,61,0
600,note_on,60,0,2,,,,,,,,,,1,,64,0
600,note_on,120,0,1,,,,,,,,,,0,,76,0
600,note_on,0,0,1,,,,,,,,,,0,,76,39
600,note_on,0,0,2,,,,,,,,,,1,,61,31
660,note_on,60,0,2,,,,,,,,,,1,,61,0
660,note_on,0,0,2,,,,,,,,,,1,,64,31
720,note_on,0,0,2,,,,,,,,,,1,,56,31
720,note_on,0,0,2,,,,,,,,,,1,,62,31
720,note_on,0,0,2,,,,,,,,,,1,,57,0
720,note_on,120,0,1,,,,,,,,,,0,,76,0
720,note_on,0,0,1,,,,,,,,,,0,,76,46
720,note_on,60,0,2,,,,,,,,,,1,,64,0
720,note_on,0,0,2,,,,,,,,,,1,,59,31
780,note_on,0,0,2,,,,,,,,,,1,,64,31
780,note_on,60,0,2,,,,,,,,,,1,,62,0
840,note_on,0,0,1,,,,,,,,,,0,,76,46
840,note_on,120,0,1,,,,,,,,,,0,,76,0
840,note_on,0,0,2,,,,,,,,,,1,,62,31
840,note_on,60,0,2,,,,,,,,,,1,,64,0
900,note_on,0,0,2,,,,,,,,,,1,,64,31
900,note_on,60,0,2,,,,,,,,,,1,,62,0
960,note_on,60,0,2,,,,,,,,,,1,,64,0
960,note_on,0,0,1,,,,,,,,,,0,,76,41
960,note_on,0,0,2,,,,,,,,,,1,,57,31
960,note_on,0,0,2,,,,,,,,,,1,,59,0
960,note_on,120,0,1,,,,,,,,,,0,,76,0
960,note_on,0,0,2,,,,,,,,,,1,,56,0
960,note_on,0,0,2,,,,,,,,,,1,,61,31
1020,note_on,0,0,2,,,,,,,,,,1,,64,31
1020,note_on,60,0,1,,,,,,,,,,0,,76,0
1020,note_on,60,0,2,,,,,,,,,,1,,61,0
1020,note_on,0,0,1,,,,,,,,,,0,,81,41
1080,note_on,0,0,2,,,,,,,,,,1,,61,31
1080,note_on,0,0,2,,,,,,,,,,1,,57,31
1080,note_on,0,0,2,,,,,,,,,,1,,57,0
1080,note_on,60,0,2,,,,,,,,,,1,,64,0
1080,note_on,0,0,1,,,,,,,,,,0,,73,41
1080,note_on,60,0,1,,,,,,,,,,0,,81,0
1108,note_on,0,0,2,,,,,,,,,,1,,57,0
1108,note_on,28,0,2,,,,,,,,,,1,,61,0
1108,note_on,28,0,1,,,,,,,,,,0,,73,0
1140,note_on,32,0,1,,,,,,,,,,0,,74,41
1140,note_on,0,0,2,,,,,,,,,,1,,62,31
1140,note_on,32,0,2,,,,,,,,,,1,,59,31
1168,note_on,28,0,2,,,,,,,,,,1,,62,0
1168,note_on,28,0,1,,,,,,,,,,0,,74,0
1168,note_on,0,0,2,,,,,,,,,,1,,59,0
1200,note_on,32,0,2,,,,,,,,,,1,,64,31
1200,note_on,0,0,2,,,,,,,,,,1,,61,31
1200,note_on,32,0,1,,,,,,,,,,0,,76,41
1260,note_on,60,0,2,,,,,,,,,,1,,64,0
1260,note_on,0,0,2,,,,,,,,,,1,,69,31
1320,note_on,0,0,2,,,,,,,,,,1,,61,0
1320,note_on,60,0,2,,,,,,,,,,1,,69,0
1320,note_on,0,0,2,,,,,,,,,,1,,57,31
1320,note_on,120,0,1,,,,,,,,,,0,,76,0
1320,note_on,0,0,2,,,,,,,,,,1,,61,31
1348,note_on,28,0,2,,,,,,,,,,1,,61,0
1348,note_on,0,0,2,,,,,,,,,,1,,57,0
1380,note_on,0,0,2,,,,,,,,,,1,,62,31
1380,note_on,32,0,2,,,,,,,,,,1,,59,31
1408,note_on,28,0,2,,,,,,,,,,1,,62,0
1408,note_on,0,0,2,,,,,,,,,,1,,59,0
1440,note_on,32,0,2,,,,,,,,,,1,,64,31
1440,note_on,120,0,1,,,,,,,,,,0,,76,41
1440,note_on,0,0,2,,,,,,,,,,1,,61,31
1500,note_on,0,0,1,,,,,,,,,,0,,81,41
1500,note_on,0,0,2,,,,,,,,,,1,,69,31
1500,note_on,60,0,2,,,,,,,,,,1,,64,0
1500,note_on,60,0,1,,,,,,,,,,0,,76,0
1560,note_on,0,0,1,,,,,,,,,,0,,73,41
1560,note_on,60,0,2,,,,,,,,,,1,,69,0
1560,note_on,0,0,2,,,,,,,,,,1,,61,0
1560,note_on,0,0,2,,,,,,,,,,1,,57,31
1560,note_on,0,0,2,,,,,,,,,,1,,61,31
1560,note_on,60,0,1,,,,,,,,,,0,,81,0
1588,note_on,28,0,2,,,,,,,,,,1,,61,0
1588,note_on,0,0,2,,,,,,,,,,1,,57,0
1588,note_on,28,0,1,,,,,,,,,,0,,73,0
1620,note_on,32,0,1,,,,,,,,,,0,,74,41
1620,note_on,32,0,2,,,,,,,,,,1,,59,31
1620,note_on,0,0,2,,,,,,,,,,1,,62,31
1648,note_on,28,0,2,,,,,,,,,,1,,62,0
1648,note_on,28,0,1,,,,,,,,,,0,,74,0
1648,note_on,0,0,2,,,,,,,,,,1,,59,0
1680,note_on,32,0,1,,,,,,,,,,0,,76,41
1680,note_on,32,0,2,,,,,,,,,,1,,64,31
1680,note_on,0,0,2,,,,,,,,,,1,,61,31
1740,note_on,60,0,1,,,,,,,,,,0,,76,0
1740,note_on,0,0,1,,,,,,,,,,0,,81,41
1740,note_on,0,0,2,,,,,,,,,,1,,69,31
1740,note_on,60,0,2,,,,,,,,,,1,,64,0
1800,note_on,60,0,2,,,,,,,,,,1,,69,0
1800,note_on,0,0,2,,,,,,,,,,1,,57,31
1800,note_on,60,0,1,,,,,,,,,,0,,81,0
1800,note_on,0,0,2,,,,,,,,,,1,,61,0
1800,note_on,0,0,1,,,,,,,,,,0,,69,35
1800,note_on,0,0,2,,,,,,,,,,1,,49,31
1828,note_on,28,0,1,,,,,,,,,,0,,69,0
1828,note_on,0,0,2,,,,,,,,,,1,,49,0
1828,note_on,28,0,2,,,,,,,,,,1,,57,0
1860,note_on,32,0,1,,,,,,,,,,0,,71,37
1860,note_on,0,0,2,,,,,,,,,,1,,59,31
1860,note_on,32,0,2,,,,,,,,,,1,,52,31
1888,note_on,28,0,1,,,,,,,,,,0,,71,0
1888,note_on,28,0,2,,,,,,,,,,1,,59,0
1888,note_on,0,0,2,,,,,,,,,,1,,52,0
1920,note_on,0,0,2,,,,,,,,,,1,,57,31
1920,note_on,32,0,1,,,,,,,,,,0,,73,40
1920,note_on,32,0,2,,,,,,,,,,1,,61,31
1980,note_on,60,0,2,,,,,,,,,,1,,61,0
1980,note_on,0,0,2,,,,,,,,,,1,,64,31
1980,note_on,60,0,1,,,,,,,,,,0,,73,0
1980,note_on,0,0,1,,,,,,,,,,0,,69,41
2040,note_on,60,0,2,,,,,,,,,,1,,64,0
2040,note_on,60,0,1,,,,,,,,,,0,,69,0
2040,note_on,0,0,1,,,,,,,,,,0,,76,41
2040,note_on,0,0,2,,,,,,,,,,1,,61,31
2100,note_on,60,0,1,,,,,,,,,,0,,76,0
2100,note_on,0,0,1,,,,,,,,,,0,,74,41
2100,note_on,60,0,2,,,,,,,,,,1,,61,0
2100,note_on,0,0,2,,,,,,,,,,1,,64,31
2160,note_on,0,0,1,,,,,,,,,,0,,73,41
2160,note_on,0,0,2,,,,,,,,,,1,,52,31
2160,note_on,60,0,1,,,,,,,,,,0,,74,0
2160,note_on,60,0,2,,,,,,,,,,1,,64,0
2160,note_on,0,0,2,,,,,,,,,,1,,57,0
2160,note_on,0,0,2,,,,,,,,,,1,,57,31
2220,note_on,60,0,2,,,,,,,,,,1,,57,0
2220,note_on,0,0,2,,,,,,,,,,1,,61,31
2250,note_on,0,0,1,,,,,,,,,,0,,74,38
2250,note_on,90,0,1,,,,,,,,,,0,,73,0
2265,note_on,0,0,1,,,,,,,,,,0,,73,37
2265,note_on,15,0,1,,,,,,,,,,0,,74,0
2280,note_on,0,0,2,,,,,,,,,,1,,56,31
2280,note_on,60,0,2,,,,,,,,,,1,,61,0
2280,note_on,15,0,1,,,,,,,,,,0,,73,0
2280,note_on,0,0,1,,,,,,,,,,0,,71,37
2340,note_on,60,0,2,,,,,,,,,,1,,56,0
2340,note_on,0,0,2,,,,,,,,,,1,,59,31
2400,note_on,120,0,1,,,,,,,,,,0,,71,0
2400,note_on,0,0,2,,,,,,,,,,1,,57,31
2400,note_on,0,0,2,,,,,,,,,,1,,61,31
2400,note_on,0,0,1,,,,,,,,,,0,,76,39
2400,note_on,0,0,2,,,,,,,,,,1,,52,0
2400,note_on,60,0,2,,,,,,,,,,1,,59,0
2460,note_on,60,0,2,,,,,,,,,,1,,61,0
2460,note_on,0,0,2,,,,,,,,,,1,,64,31
2520,note_on,0,0,1,,,,,,,,,,0,,76,39
2520,note_on,60,0,2,,,,,,,,,,1,,64,0
2520,note_on,0,0,2,,,,,,,,,,1,,61,31
2520,note_on,120,0,1,,,,,,,,,,0,,76,0
2580,note_on,60,0,2,,,,,,,,,,1,,61,0
2580,note_on,0,0,2,,,,,,,,,,1,,64,31
2640,note_on,60,0,2,,,,,,,,,,1,,64,0
2640,note_on,0,0,2,,,,,,,,,,1,,57,0
2640,note_on,0,0,2,,,,,,,,,,1,,62,31
2640,note_on,120,0,1,,,,,,,,,,0,,76,0
2640,note_on,0,0,2,,,,,,,,,,1,,56,31
2640,note_on,0,0,1,,,,,,,,,,0,,76,44
2640,note_on,0,0,2,,,,,,,,,,1,,59,31
2700,note_on,0,0,2,,,,,,,,,,1,,64,31
2700,note_on,60,0,2,,,,,,,,,,1,,62,0
2760,note_on,120,0,1,,,,,,,,,,0,,76,0
2760,note_on,0,0,1,,,,,,,,,,0,,76,44
2760,note_on,60,0,2,,,,,,,,,,1,,64,0
2760,note_on,0,0,2,,,,,,,,,,1,,62,31
2820,note_on,60,0,2,,,,,,,,,,1,,62,0
2820,note_on,0,0,2,,,,,,,,,,1,,64,31
