tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,program,channel,control,value,pitch,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,,
0,pitchwheel,0,0,4,,,,,,,,1,,,0,,
0,track_name,0,1,5,,,,,,,,,,,,,
0,program_change,0,0,5,,,,,,,0,2,,,,,
0,control_change,0,0,5,,,,,,,,2,7,127,,,
0,control_change,0,0,5,,,,,,,,2,10,64,,,
0,control_change,0,0,5,,,,,,,,2,93,0,,,
0,control_change,0,0,5,,,,,,,,2,64,0,,,
0,control_change,0,0,4,,,,,,,,1,91,120,,,
0,control_change,0,0,5,,,,,,,,2,91,120,,,
0,track_name,0,1,6,,,,,,,,,,,,,
0,program_change,0,0,6,,,,,,,0,2,,,,,
0,control_change,0,0,6,,,,,,,,2,7,127,,,
0,control_change,0,0,6,,,,,,,,2,10,64,,,
0,control_change,0,0,6,,,,,,,,2,93,0,,,
0,control_change,0,0,6,,,,,,,,2,64,0,,,
0,control_change,0,0,6,,,,,,,,2,91,120,,,
0,pitchwheel,0,0,5,,,,,,,,2,,,0,,
0,control_change,0,0,4,,,,,,,,1,64,0,,,
0,control_change,0,0,4,,,,,,,,1,93,0,,,
0,control_change,0,0,4,,,,,,,,1,10,64,,,
0,control_change,0,0,2,,,,,,,,0,7,127,,,
0,control_change,0,0,2,,,,,,,,0,10,64,,,
0,control_change,0,0,2,,,,,,,,0,93,0,,,
0,control_change,0,0,2,,,,,,,,0,64,0,,,
0,control_change,0,0,2,,,,,,,,0,91,120,,,
0,pitchwheel,0,0,2,,,,,,,,0,,,0,,
0,track_name,0,1,3,,,,,,,,,,,,,
0,program_change,0,0,3,,,,,,,60,1,,,,,
0,control_change,0,0,3,,,,,,,,1,7,127,,,
0,control_change,0,0,3,,,,,,,,1,10,64,,,
0,control_change,0,0,3,,,,,,,,1,93,0,,,
0,control_change,0,0,3,,,,,,,,1,64,0,,,
0,control_change,0,0,3,,,,,,,,1,91,120,,,
0,pitchwheel,0,0,3,,,,,,,,1,,,0,,
0,track_name,0,1,4,,,,,,,,,,,,,
0,program_change,0,0,4,,,,,,,60,1,,,,,
0,control_change,0,0,4,,,,,,,,1,7,127,,,
0,pitchwheel,0,0,6,,,,,,,,2,,,0,,
0,track_name,0,1,12,,,,,,,,,,,,,
0,track_name,0,1,7,,,,,,,,,,,,,
0,program_change,0,0,7,,,,,,,0,2,,,,,
0,pitchwheel,0,0,9,,,,,,,,3,,,0,,
0,track_name,0,1,10,,,,,,,,,,,,,
0,program_change,0,0,10,,,,,,,48,3,,,,,
0,control_change,0,0,10,,,,,,,,3,7,127,,,
0,control_change,0,0,10,,,,,,,,3,10,64,,,
0,control_change,0,0,10,,,,,,,,3,93,0,,,
0,control_change,0,0,10,,,,,,,,3,64,0,,,
0,control_change,0,0,10,,,,,,,,3,91,120,,,
0,pitchwheel,0,0,10,,,,,,,,3,,,0,,
0,track_name,0,1,11,,,,,,,,,,,,,
0,program_change,0,0,11,,,,,,,48,3,,,,,
0,control_change,0,0,11,,,,,,,,3,7,127,,,
0,control_change,0,0,11,,,,,,,,3,10,64,,,
0,control_change,0,0,11,,,,,,,,3,93,0,,,
0,control_change,0,0,11,,,,,,,,3,64,0,,,
0,control_change,0,0,11,,,,,,,,3,91,120,,,
0,pitchwheel,0,0,11,,,,,,,,3,,,0,,
0,control_change,0,0,9,,,,,,,,3,91,120,,,
0,program_change,0,0,2,,,,,,,68,0,,,,,
0,control_change,0,0,9,,,,,,,,3,64,0,,,
0,control_change,0,0,9,,,,,,,,3,10,64,,,
0,control_change,0,0,7,,,,,,,,2,7,127,,,
0,control_change,0,0,7,,,,,,,,2,10,64,,,
0,control_change,0,0,7,,,,,,,,2,93,0,,,
0,control_change,0,0,7,,,,,,,,2,64,0,,,
0,control_change,0,0,7,,,,,,,,2,91,120,,,
0,pitchwheel,0,0,7,,,,,,,,2,,,0,,
0,track_name,0,1,8,,,,,,,,,,,,,
0,program_change,0,0,8,,,,,,,48,3,,,,,
0,control_change,0,0,8,,,,,,,,3,7,127,,,
0,control_change,0,0,8,,,,,,,,3,10,64,,,
0,control_change,0,0,8,,,,,,,,3,93,0,,,
0,control_change,0,0,8,,,,,,,,3,64,0,,,
0,control_change,0,0,8,,,,,,,,3,91,120,,,
0,pitchwheel,0,0,8,,,,,,,,3,,,0,,
0,track_name,0,1,9,,,,,,,,,,,,,
0,program_change,0,0,9,,,,,,,48,3,,,,,
0,control_change,0,0,9,,,,,,,,3,7,127,,,
0,control_change,0,0,9,,,,,,,,3,93,0,,,
0,track_name,0,1,2,,,,,,,,,,,,,
0,end_of_track,0,1,12,,,,,,,,,,,,,
0,set_tempo,0,1,0,,,,,,545455,,,,,,,
0,control_change,0,0,1,,,,,,,,0,93,0,,,
0,program_change,0,0,1,,,,,,,68,0,,,,,
0,track_name,0,1,1,,,,,,,,,,,,,
0,end_of_track,0,1,0,,,,,,,,,,,,,
0,key_signature,0,1,0,,,,,Bb,,,,,,,,
0,time_signature,0,1,0,4,4,24,8,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,
0,track_name,0,1,0,,,,,,,,,,,,,
0,control_change,0,0,1,,,,,,,,0,10,64,,,
0,control_change,0,0,1,,,,,,,,0,64,0,,,
0,pitchwheel,0,0,1,,,,,,,,0,,,0,,
0,control_change,0,0,1,,,,,,,,0,91,120,,,
0,control_change,0,0,1,,,,,,,,0,7,127,,,
192,note_on,192,0,6,,,,,,,,2,,,,62,85
192,note_on,192,0,5,,,,,,,,2,,,,77,85
237,note_on,45,0,6,,,,,,,,2,,,,62,0
237,note_on,45,0,5,,,,,,,,2,,,,77,0
240,note_on,3,0,6,,,,,,,,2,,,,63,85
240,note_on,3,0,5,,,,,,,,2,,,,79,85
285,note_on,45,0,6,,,,,,,,2,,,,63,0
285,note_on,45,0,5,,,,,,,,2,,,,79,0
288,note_on,3,0,5,,,,,,,,2,,,,75,85
288,note_on,3,0,6,,,,,,,,2,,,,60,85
333,note_on,45,0,5,,,,,,,,2,,,,75,0
333,note_on,45,0,6,,,,,,,,2,,,,60,0
336,note_on,3,0,6,,,,,,,,2,,,,62,85
336,note_on,3,0,5,,,,,,,,2,,,,77,85
381,note_on,45,0,6,,,,,,,,2,,,,62,0
381,note_on,45,0,5,,,,,,,,2,,,,77,0
384,note_on,384,0,10,,,,,,,,3,,,,58,49
384,note_on,3,0,6,,,,,,,,2,,,,58,85
384,note_on,384,0,11,,,,,,,,3,,,,46,49
384,note_on,3,0,5,,,,,,,,2,,,,74,85
473,note_on,89,0,5,,,,,,,,2,,,,74,0
473,note_on,89,0,11,,,,,,,,3,,,,46,0
473,note_on,89,0,6,,,,,,,,2,,,,58,0
480,note_on,480,0,8,,,,,,,,3,,,,65,49
480,note_on,480,0,9,,,,,,,,3,,,,62,49
519,note_on,39,0,9,,,,,,,,3,,,,62,0
569,note_on,89,0,8,,,,,,,,3,,,,65,0
576,note_on,7,0,8,,,,,,,,3,,,,65,49
576,note_on,57,0,9,,,,,,,,3,,,,62,49
576,note_on,103,0,6,,,,,,,,2,,,,65,85
576,note_on,103,0,5,,,,,,,,2,,,,74,85
621,note_on,45,0,6,,,,,,,,2,,,,65,0
621,note_on,45,0,5,,,,,,,,2,,,,74,0
624,note_on,3,0,5,,,,,,,,2,,,,75,85
624,note_on,3,0,6,,,,,,,,2,,,,67,85
665,note_on,89,0,8,,,,,,,,3,,,,65,0
665,note_on,89,0,9,,,,,,,,3,,,,62,0
669,note_on,45,0,5,,,,,,,,2,,,,75,0
669,note_on,45,0,6,,,,,,,,2,,,,67,0
672,note_on,3,0,5,,,,,,,,2,,,,72,85
672,note_on,3,0,6,,,,,,,,2,,,,63,85
672,note_on,7,0,8,,,,,,,,3,,,,70,49
672,note_on,7,0,9,,,,,,,,3,,,,65,49
717,note_on,45,0,6,,,,,,,,2,,,,63,0
717,note_on,45,0,5,,,,,,,,2,,,,72,0
720,note_on,3,0,6,,,,,,,,2,,,,65,85
720,note_on,3,0,5,,,,,,,,2,,,,74,85
738,note_on,354,0,10,,,,,,,,3,,,,58,0
761,note_on,89,0,8,,,,,,,,3,,,,70,0
761,note_on,89,0,9,,,,,,,,3,,,,65,0
765,note_on,45,0,6,,,,,,,,2,,,,65,0
765,note_on,45,0,5,,,,,,,,2,,,,74,0
768,note_on,3,0,6,,,,,,,,2,,,,62,85
768,note_on,295,0,11,,,,,,,,3,,,,34,49
768,note_on,3,0,5,,,,,,,,2,,,,70,85
768,note_on,30,0,10,,,,,,,,3,,,,70,49
857,note_on,89,0,6,,,,,,,,2,,,,62,0
857,note_on,89,0,11,,,,,,,,3,,,,34,0
857,note_on,89,0,5,,,,,,,,2,,,,70,0
864,note_on,103,0,9,,,,,,,,3,,,,62,49
864,note_on,103,0,8,,,,,,,,3,,,,70,49
903,note_on,39,0,8,,,,,,,,3,,,,70,0
903,note_on,39,0,9,,,,,,,,3,,,,62,0
960,note_on,57,0,9,,,,,,,,3,,,,62,49
960,note_on,103,0,5,,,,,,,,2,,,,70,85
960,note_on,57,0,8,,,,,,,,3,,,,70,49
1005,note_on,45,0,5,,,,,,,,2,,,,70,0
1008,note_on,3,0,5,,,,,,,,2,,,,72,85
1049,note_on,89,0,9,,,,,,,,3,,,,62,0
1049,note_on,89,0,8,,,,,,,,3,,,,70,0
1053,note_on,45,0,5,,,,,,,,2,,,,72,0
1056,note_on,3,0,5,,,,,,,,2,,,,69,85
1056,note_on,7,0,8,,,,,,,,3,,,,74,49
1056,note_on,199,0,6,,,,,,,,2,,,,58,85
1056,note_on,7,0,9,,,,,,,,3,,,,65,49
1056,note_on,1056,0,7,,,,,,,,2,,,,46,85
1101,note_on,45,0,5,,,,,,,,2,,,,69,0
1104,note_on,3,0,5,,,,,,,,2,,,,70,85
1122,note_on,354,0,10,,,,,,,,3,,,,70,0
1145,note_on,89,0,7,,,,,,,,2,,,,46,0
1145,note_on,89,0,8,,,,,,,,3,,,,74,0
1145,note_on,89,0,9,,,,,,,,3,,,,65,0
1149,note_on,45,0,5,,,,,,,,2,,,,70,0
1152,note_on,295,0,11,,,,,,,,3,,,,39,49
1152,note_on,7,0,7,,,,,,,,2,,,,51,85
1152,note_on,3,0,5,,,,,,,,2,,,,67,85
1152,note_on,30,0,10,,,,,,,,3,,,,58,49
1241,note_on,185,0,6,,,,,,,,2,,,,58,0
1241,note_on,89,0,5,,,,,,,,2,,,,67,0
1241,note_on,89,0,10,,,,,,,,3,,,,58,0
1241,note_on,89,0,11,,,,,,,,3,,,,39,0
1248,note_on,7,0,6,,,,,,,,2,,,,55,85
1248,note_on,7,0,5,,,,,,,,2,,,,75,85
1248,note_on,103,0,8,,,,,,,,3,,,,63,49
1248,note_on,103,0,9,,,,,,,,3,,,,55,49
1287,note_on,39,0,9,,,,,,,,3,,,,55,0
1287,note_on,39,0,8,,,,,,,,3,,,,63,0
1329,note_on,177,0,7,,,,,,,,2,,,,51,0
1344,note_on,15,0,7,,,,,,,,2,,,,48,85
1344,note_on,57,0,8,,,,,,,,3,,,,63,49
1344,note_on,57,0,9,,,,,,,,3,,,,55,49
1344,note_on,103,0,10,,,,,,,,3,,,,60,49
1344,note_on,103,0,11,,,,,,,,3,,,,36,49
1425,note_on,177,0,5,,,,,,,,2,,,,75,0
1425,note_on,177,0,6,,,,,,,,2,,,,55,0
1433,note_on,89,0,10,,,,,,,,3,,,,60,0
1433,note_on,89,0,7,,,,,,,,2,,,,48,0
1433,note_on,89,0,9,,,,,,,,3,,,,55,0
1433,note_on,89,0,11,,,,,,,,3,,,,36,0
1433,note_on,89,0,8,,,,,,,,3,,,,63,0
1440,note_on,7,0,7,,,,,,,,2,,,,51,85
1440,note_on,15,0,5,,,,,,,,2,,,,72,85
1440,note_on,15,0,6,,,,,,,,2,,,,60,85
1440,note_on,7,0,8,,,,,,,,3,,,,67,49
1440,note_on,7,0,9,,,,,,,,3,,,,63,49
1529,note_on,89,0,6,,,,,,,,2,,,,60,0
1529,note_on,89,0,8,,,,,,,,3,,,,67,0
1529,note_on,89,0,5,,,,,,,,2,,,,72,0
1529,note_on,89,0,9,,,,,,,,3,,,,63,0
1529,note_on,89,0,7,,,,,,,,2,,,,51,0
1536,note_on,7,0,6,,,,,,,,2,,,,60,85
1536,note_on,7,0,5,,,,,,,,2,,,,70,85
1536,note_on,7,0,7,,,,,,,,2,,,,53,85
1536,note_on,103,0,10,,,,,,,,3,,,,60,49
1536,note_on,103,0,11,,,,,,,,3,,,,41,49
1542,note_on,0,0,5,,,,,,,,2,,,,69,85
1542,note_on,6,0,5,,,,,,,,2,,,,70,0
1625,note_on,89,0,11,,,,,,,,3,,,,41,0
1625,note_on,83,0,5,,,,,,,,2,,,,69,0
1625,note_on,89,0,6,,,,,,,,2,,,,60,0
1625,note_on,89,0,7,,,,,,,,2,,,,53,0
1632,note_on,7,0,5,,,,,,,,2,,,,72,85
1632,note_on,103,0,9,,,,,,,,3,,,,57,49
1632,note_on,103,0,8,,,,,,,,3,,,,60,49
1671,note_on,39,0,9,,,,,,,,3,,,,57,0
1671,note_on,39,0,8,,,,,,,,3,,,,60,0
1677,note_on,45,0,5,,,,,,,,2,,,,72,0
1680,note_on,3,0,5,,,,,,,,2,,,,69,85
1713,note_on,177,0,10,,,,,,,,3,,,,60,0
1725,note_on,45,0,5,,,,,,,,2,,,,69,0
1728,note_on,57,0,8,,,,,,,,3,,,,60,49
1728,note_on,103,0,6,,,,,,,,2,,,,57,85
1728,note_on,57,0,9,,,,,,,,3,,,,57,49
1728,note_on,3,0,5,,,,,,,,2,,,,77,85
1773,note_on,45,0,6,,,,,,,,2,,,,57,0
1773,note_on,45,0,5,,,,,,,,2,,,,77,0
1776,note_on,3,0,6,,,,,,,,2,,,,58,85
1776,note_on,3,0,5,,,,,,,,2,,,,79,85
1817,note_on,89,0,9,,,,,,,,3,,,,57,0
1817,note_on,89,0,8,,,,,,,,3,,,,60,0
1821,note_on,45,0,5,,,,,,,,2,,,,79,0
1821,note_on,45,0,6,,,,,,,,2,,,,58,0
1824,note_on,3,0,6,,,,,,,,2,,,,60,85
1824,note_on,7,0,8,,,,,,,,3,,,,69,49
1824,note_on,3,0,5,,,,,,,,2,,,,75,85
1824,note_on,7,0,9,,,,,,,,3,,,,60,49
1869,note_on,45,0,6,,,,,,,,2,,,,60,0
1869,note_on,45,0,5,,,,,,,,2,,,,75,0
1872,note_on,3,0,6,,,,,,,,2,,,,62,85
1872,note_on,3,0,5,,,,,,,,2,,,,77,85
1913,note_on,89,0,8,,,,,,,,3,,,,69,0
1913,note_on,89,0,9,,,,,,,,3,,,,60,0
1917,note_on,45,0,6,,,,,,,,2,,,,62,0
1917,note_on,45,0,5,,,,,,,,2,,,,77,0
1920,note_on,3,0,5,,,,,,,,2,,,,74,85
1920,note_on,3,0,6,,,,,,,,2,,,,58,85
1920,note_on,295,0,11,,,,,,,,3,,,,46,49
1920,note_on,207,0,10,,,,,,,,3,,,,58,49
2009,note_on,89,0,6,,,,,,,,2,,,,58,0
2009,note_on,89,0,11,,,,,,,,3,,,,46,0
2009,note_on,89,0,5,,,,,,,,2,,,,74,0
2016,note_on,103,0,8,,,,,,,,3,,,,65,49
2016,note_on,103,0,9,,,,,,,,3,,,,62,49
2055,note_on,39,0,8,,,,,,,,3,,,,65,0
2055,note_on,39,0,9,,,,,,,,3,,,,62,0
2112,note_on,57,0,9,,,,,,,,3,,,,62,49
2112,note_on,57,0,8,,,,,,,,3,,,,65,49
2112,note_on,103,0,5,,,,,,,,2,,,,74,85
2112,note_on,103,0,6,,,,,,,,2,,,,65,85
2157,note_on,45,0,6,,,,,,,,2,,,,65,0
2157,note_on,45,0,5,,,,,,,,2,,,,74,0
2160,note_on,3,0,6,,,,,,,,2,,,,67,85
2160,note_on,3,0,5,,,,,,,,2,,,,75,85
2201,note_on,89,0,8,,,,,,,,3,,,,65,0
2201,note_on,89,0,9,,,,,,,,3,,,,62,0
2205,note_on,45,0,5,,,,,,,,2,,,,75,0
2205,note_on,45,0,6,,,,,,,,2,,,,67,0
2208,note_on,3,0,6,,,,,,,,2,,,,63,85
2208,note_on,3,0,5,,,,,,,,2,,,,72,85
2208,note_on,7,0,9,,,,,,,,3,,,,65,49
2208,note_on,7,0,8,,,,,,,,3,,,,70,49
2253,note_on,45,0,6,,,,,,,,2,,,,63,0
