tick,type,data,time,meta,track,frame_rate,hours,minutes,seconds,frames,sub_frames,port,key,tempo,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,control,value,channel,program,note,velocity
0,sequencer_specific,"(0, 0, 91, 35, 1, 0, 5, 4, 35, 0)",0,1,0,,,,,,,,,,,,,,,,,,,
0,program_change,,0,0,17,,,,,,,,,,,,,,,,11,73,,
0,midi_port,,0,1,17,,,,,,,0,,,,,,,,,,,,
0,track_name,,0,1,6,,,,,,,,,,,,,,,,,,,
0,midi_port,,0,1,6,,,,,,,0,,,,,,,,,,,,
0,program_change,,0,0,6,,,,,,,,,,,,,,,,1,70,,
0,control_change,,0,0,6,,,,,,,,,,,,,,7,96,1,,,
0,control_change,,0,0,6,,,,,,,,,,,,,,10,65,1,,,
0,control_change,,0,0,6,,,,,,,,,,,,,,11,127,1,,,
0,note_on,,0,0,6,,,,,,,,,,,,,,,,1,,57,72
0,note_on,,0,0,6,,,,,,,,,,,,,,,,1,,53,72
0,control_change,,0,0,17,,,,,,,,,,,,,,7,96,11,,,
0,track_name,,0,1,17,,,,,,,,,,,,,,,,,,,
0,control_change,,0,0,16,,,,,,,,,,,,,,10,24,10,,,
0,control_change,,0,0,16,,,,,,,,,,,,,,7,96,10,,,
0,program_change,,0,0,16,,,,,,,,,,,,,,,,10,73,,
0,midi_port,,0,1,16,,,,,,,0,,,,,,,,,,,,
0,track_name,,0,1,16,,,,,,,,,,,,,,,,,,,
0,note_on,,0,0,15,,,,,,,,,,,,,,,,8,,38,66
0,control_change,,0,0,15,,,,,,,,,,,,,,11,127,8,,,
0,control_change,,0,0,15,,,,,,,,,,,,,,10,112,8,,,
0,control_change,,0,0,15,,,,,,,,,,,,,,7,104,8,,,
0,program_change,,0,0,15,,,,,,,,,,,,,,,,8,48,,
0,control_change,,0,0,16,,,,,,,,,,,,,,11,127,10,,,
0,control_change,,0,0,17,,,,,,,,,,,,,,10,96,11,,,
0,control_change,,0,0,17,,,,,,,,,,,,,,11,127,11,,,
0,track_name,,0,1,18,,,,,,,,,,,,,,,,,,,
0,control_change,,0,0,21,,,,,,,,,,,,,,11,127,15,,,
0,control_change,,0,0,21,,,,,,,,,,,,,,10,64,15,,,
0,control_change,,0,0,21,,,,,,,,,,,,,,7,96,15,,,
0,midi_port,,0,1,21,,,,,,,0,,,,,,,,,,,,
0,track_name,,0,1,21,,,,,,,,,,,,,,,,,,,
0,note_on,,0,0,20,,,,,,,,,,,,,,,,14,,50,72
0,program_change,,0,0,20,,,,,,,,,,,,,,,,14,47,,
0,control_change,,0,0,20,,,,,,,,,,,,,,11,127,14,,,
0,control_change,,0,0,20,,,,,,,,,,,,,,10,25,14,,,
0,control_change,,0,0,20,,,,,,,,,,,,,,7,96,14,,,
0,midi_port,,0,1,20,,,,,,,0,,,,,,,,,,,,
0,track_name,,0,1,20,,,,,,,,,,,,,,,,,,,
0,control_change,,0,0,19,,,,,,,,,,,,,,11,127,13,,,
0,control_change,,0,0,19,,,,,,,,,,,,,,10,80,13,,,
0,control_change,,0,0,19,,,,,,,,,,,,,,7,96,13,,,
0,program_change,,0,0,19,,,,,,,,,,,,,,,,13,60,,
0,midi_port,,0,1,19,,,,,,,0,,,,,,,,,,,,
0,track_name,,0,1,19,,,,,,,,,,,,,,,,,,,
0,control_change,,0,0,18,,,,,,,,,,,,,,11,127,12,,,
