tick,type,time,meta,track,frame_rate,hours,minutes,seconds,frames,sub_frames,tempo,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,control,value,channel,program,pitch,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,,,,,,,,
0,control_change,0,0,4,,,,,,,,,,,,,64,0,4,,,,
0,control_change,0,0,4,,,,,,,,,,,,,64,0,4,,,,
0,control_change,0,0,4,,,,,,,,,,,,,1,0,4,,,,
0,control_change,0,0,4,,,,,,,,,,,,,1,0,4,,,,
0,control_change,0,0,4,,,,,,,,,,,,,1,0,4,,,,
0,pitchwheel,0,0,4,,,,,,,,,,,,,,,4,,0,,
0,pitchwheel,0,0,4,,,,,,,,,,,,,,,4,,0,,
0,pitchwheel,0,0,4,,,,,,,,,,,,,,,4,,0,,
0,control_change,0,0,4,,,,,,,,,,,,,7,120,4,,,,
0,control_change,0,0,4,,,,,,,,,,,,,10,55,4,,,,
0,program_change,0,0,4,,,,,,,,,,,,,,,4,0,,,
0,control_change,0,0,4,,,,,,,,,,,,,32,0,4,,,,
0,control_change,0,0,4,,,,,,,,,,,,,0,0,4,,,,
0,track_name,0,1,4,,,,,,,,,,,,,,,,,,,
0,instrument_name,0,1,4,,,,,,,,,,,,,,,,,,,
0,instrument_name,0,1,5,,,,,,,,,,,,,,,,,,,
0,track_name,0,1,5,,,,,,,,,,,,,,,,,,,
0,control_change,0,0,4,,,,,,,,,,,,,64,0,4,,,,
0,control_change,0,0,4,,,,,,,,,,,,,93,18,4,,,,
0,control_change,0,0,4,,,,,,,,,,,,,93,28,4,,,,
0,control_change,0,0,4,,,,,,,,,,,,,91,100,4,,,,
0,control_change,0,0,3,,,,,,,,,,,,,91,100,3,,,,
0,pitchwheel,0,0,3,,,,,,,,,,,,,,,3,,0,,
0,pitchwheel,0,0,3,,,,,,,,,,,,,,,3,,0,,
0,pitchwheel,0,0,3,,,,,,,,,,,,,,,3,,0,,
0,control_change,0,0,3,,,,,,,,,,,,,1,0,3,,,,
0,control_change,0,0,3,,,,,,,,,,,,,1,0,3,,,,
0,control_change,0,0,3,,,,,,,,,,,,,1,0,3,,,,
0,control_change,0,0,3,,,,,,,,,,,,,64,0,3,,,,
0,control_change,0,0,5,,,,,,,,,,,,,0,0,5,,,,
0,control_change,0,0,3,,,,,,,,,,,,,64,0,3,,,,
0,program_change,0,0,3,,,,,,,,,,,,,,,3,0,,,
0,control_change,0,0,3,,,,,,,,,,,,,32,0,3,,,,
0,control_change,0,0,3,,,,,,,,,,,,,0,0,3,,,,
0,track_name,0,1,3,,,,,,,,,,,,,,,,,,,
0,instrument_name,0,1,3,,,,,,,,,,,,,,,,,,,
0,control_change,0,0,2,,,,,,,,,,,,,7,122,2,,,,
0,control_change,0,0,2,,,,,,,,,,,,,93,28,2,,,,
0,control_change,0,0,2,,,,,,,,,,,,,91,100,2,,,,
0,control_change,0,0,3,,,,,,,,,,,,,64,0,3,,,,
0,control_change,0,0,5,,,,,,,,,,,,,32,0,5,,,,
0,program_change,0,0,5,,,,,,,,,,,,,,,5,0,,,
0,control_change,0,0,5,,,,,,,,,,,,,10,55,5,,,,
0,program_change,0,0,2,,,,,,,,,,,,,,,2,0,,,
0,control_change,0,0,2,,,,,,,,,,,,,32,0,2,,,,
0,control_change,0,0,2,,,,,,,,,,,,,0,0,2,,,,
0,track_name,0,1,2,,,,,,,,,,,,,,,,,,,
0,instrument_name,0,1,2,,,,,,,,,,,,,,,,,,,
0,pitchwheel,0,0,1,,,,,,,,,,,,,,,1,,0,,
0,pitchwheel,0,0,1,,,,,,,,,,,,,,,1,,0,,
0,pitchwheel,0,0,1,,,,,,,,,,,,,,,1,,0,,
0,control_change,0,0,2,,,,,,,,,,,,,10,73,2,,,,
0,program_change,0,0,1,,,,,,,,,,,,,,,1,0,,,
0,control_change,0,0,1,,,,,,,,,,,,,93,28,1,,,,
0,control_change,0,0,1,,,,,,,,,,,,,93,18,1,,,,
0,control_change,0,0,1,,,,,,,,,,,,,1,0,1,,,,
0,control_change,0,0,1,,,,,,,,,,,,,1,0,1,,,,
0,control_change,0,0,1,,,,,,,,,,,,,7,127,1,,,,
0,control_change,0,0,1,,,,,,,,,,,,,10,73,1,,,,
0,control_change,0,0,1,,,,,,,,,,,,,32,0,1,,,,
0,control_change,0,0,1,,,,,,,,,,,,,0,0,1,,,,
0,control_change,0,0,1,,,,,,,,,,,,,91,100,1,,,,
0,control_change,0,0,3,,,,,,,,,,,,,93,28,3,,,,
0,control_change,0,0,2,,,,,,,,,,,,,1,0,2,,,,
0,control_change,0,0,2,,,,,,,,,,,,,1,0,2,,,,
0,control_change,0,0,5,,,,,,,,,,,,,1,0,5,,,,
0,control_change,0,0,5,,,,,,,,,,,,,1,0,5,,,,
0,control_change,0,0,5,,,,,,,,,,,,,1,0,5,,,,
0,pitchwheel,0,0,5,,,,,,,,,,,,,,,5,,0,,
0,pitchwheel,0,0,5,,,,,,,,,,,,,,,5,,0,,
0,pitchwheel,0,0,5,,,,,,,,,,,,,,,5,,0,,
0,control_change,0,0,5,,,,,,,,,,,,,93,18,5,,,,
0,control_change,0,0,5,,,,,,,,,,,,,64,0,5,,,,
0,control_change,0,0,2,,,,,,,,,,,,,1,0,2,,,,
0,control_change,0,0,5,,,,,,,,,,,,,64,0,5,,,,
0,control_change,0,0,5,,,,,,,,,,,,,93,28,5,,,,
