tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,control,value,channel,pitch,program,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,,
0,control_change,0,0,3,,,,,,,64,0,3,,,,
0,control_change,0,0,3,,,,,,,93,19,3,,,,
0,control_change,0,0,3,,,,,,,91,100,3,,,,
0,control_change,0,0,3,,,,,,,10,64,3,,,,
0,control_change,0,0,3,,,,,,,7,112,3,,,,
0,control_change,0,0,3,,,,,,,0,0,3,,,,
0,track_name,0,1,3,,,,,,,,,,,,,
0,control_change,0,0,6,,,,,,,7,127,10,,,,
0,control_change,0,0,2,,,,,,,64,0,2,,,,
0,control_change,0,0,2,,,,,,,64,0,2,,,,
0,pitchwheel,0,0,2,,,,,,,,,2,0,,,
0,control_change,0,0,2,,,,,,,1,0,2,,,,
0,control_change,0,0,2,,,,,,,93,19,2,,,,
0,control_change,0,0,2,,,,,,,91,100,2,,,,
0,control_change,0,0,2,,,,,,,10,73,2,,,,
0,control_change,0,0,2,,,,,,,7,122,2,,,,
0,control_change,0,0,2,,,,,,,0,0,2,,,,
0,track_name,0,1,2,,,,,,,,,,,,,
0,pitchwheel,0,0,1,,,,,,,,,1,0,,,
0,control_change,0,0,1,,,,,,,1,0,1,,,,
0,control_change,0,0,1,,,,,,,64,0,1,,,,
0,control_change,0,0,1,,,,,,,93,19,1,,,,
0,control_change,0,0,1,,,,,,,91,100,1,,,,
0,control_change,0,0,1,,,,,,,10,73,1,,,,
0,control_change,0,0,1,,,,,,,7,127,1,,,,
0,control_change,0,0,3,,,,,,,64,0,3,,,,
0,control_change,0,0,1,,,,,,,0,0,1,,,,
0,control_change,0,0,3,,,,,,,64,0,3,,,,
0,control_change,0,0,3,,,,,,,1,0,3,,,,
0,program_change,0,0,6,,,,,,,,,10,,30,,
0,track_name,0,1,6,,,,,,,,,,,,,
0,control_change,0,0,5,,,,,,,1,0,5,,,,
0,pitchwheel,0,0,5,,,,,,,,,5,0,,,
0,control_change,0,0,5,,,,,,,64,0,5,,,,
0,control_change,0,0,5,,,,,,,64,0,5,,,,
0,control_change,0,0,5,,,,,,,93,19,5,,,,
0,control_change,0,0,5,,,,,,,91,100,5,,,,
0,control_change,0,0,5,,,,,,,10,55,5,,,,
0,control_change,0,0,5,,,,,,,7,125,5,,,,
0,control_change,0,0,5,,,,,,,0,0,5,,,,
0,track_name,0,1,5,,,,,,,,,,,,,
0,pitchwheel,0,0,4,,,,,,,,,4,0,,,
0,control_change,0,0,4,,,,,,,1,0,4,,,,
0,control_change,0,0,4,,,,,,,64,0,4,,,,
0,control_change,0,0,4,,,,,,,64,0,4,,,,
0,control_change,0,0,4,,,,,,,64,0,4,,,,
0,control_change,0,0,4,,,,,,,64,0,4,,,,
0,control_change,0,0,4,,,,,,,93,19,4,,,,
0,control_change,0,0,4,,,,,,,91,100,4,,,,
0,control_change,0,0,4,,,,,,,10,55,4,,,,
0,control_change,0,0,4,,,,,,,7,120,4,,,,
0,control_change,0,0,4,,,,,,,0,0,4,,,,
0,track_name,0,1,4,,,,,,,,,,,,,
0,pitchwheel,0,0,3,,,,,,,,,3,0,,,
0,control_change,0,0,3,,,,,,,64,0,3,,,,
0,track_name,0,1,1,,,,,,,,,,,,,
0,end_of_track,0,1,6,,,,,,,,,,,,,
0,time_signature,0,1,0,3,4,24,8,,,,,,,,,
0,key_signature,0,1,0,,,,,C,,,,,,,,
0,marker,0,1,0,,,,,,,,,,,,,
0,set_tempo,0,1,0,,,,,,500000,,,,,,,
1,control_change,1,0,3,,,,,,,32,0,3,,,,
1,control_change,1,0,4,,,,,,,32,0,4,,,,
1,program_change,0,0,4,,,,,,,,,4,,0,,
1,control_change,1,0,1,,,,,,,32,0,1,,,,
1,program_change,0,0,1,,,,,,,,,1,,0,,
1,program_change,0,0,5,,,,,,,,,5,,0,,
1,control_change,1,0,5,,,,,,,32,0,5,,,,
1,program_change,0,0,3,,,,,,,,,3,,0,,
1,program_change,0,0,2,,,,,,,,,2,,0,,
1,control_change,1,0,2,,,,,,,32,0,2,,,,
1440,control_change,1439,0,5,,,,,,,64,127,5,,,,
1440,note_on,0,0,5,,,,,,,,,5,,,53,44
1440,set_tempo,1440,1,0,,,,,,400000,,,,,,,
1440,control_change,1439,0,3,,,,,,,64,127,3,,,,
1440,control_change,1439,0,4,,,,,,,64,127,4,,,,
1440,control_change,1439,0,2,,,,,,,64,0,2,,,,
1440,marker,0,1,0,,,,,,,,,,,,,
1440,note_on,0,0,1,,,,,,,,,1,,,65,44
1440,control_change,1439,0,1,,,,,,,64,0,1,,,,
1680,note_on,240,0,5,,,,,,,,,5,,,53,0
1680,note_on,240,0,3,,,,,,,,,3,,,57,45
1920,note_on,240,0,3,,,,,,,,,3,,,57,0
1920,note_on,0,0,3,,,,,,,,,3,,,60,45
2160,note_on,240,0,3,,,,,,,,,3,,,60,0
2160,note_on,0,0,3,,,,,,,,,3,,,57,46
2400,note_on,0,0,3,,,,,,,,,3,,,60,47
2400,note_on,240,0,3,,,,,,,,,3,,,57,0
2400,note_on,960,0,1,,,,,,,,,1,,,65,0
2400,note_on,0,0,1,,,,,,,,,1,,,69,47
2640,note_on,0,0,3,,,,,,,,,3,,,57,48
2640,note_on,240,0,3,,,,,,,,,3,,,60,0
2760,note_on,360,0,1,,,,,,,,,1,,,69,0
2820,control_change,1140,0,5,,,,,,,64,0,5,,,,
2820,control_change,180,0,3,,,,,,,64,0,3,,,,
2820,control_change,1380,0,4,,,,,,,64,0,4,,,,
2880,note_on,120,0,1,,,,,,,,,1,,,72,49
2880,note_on,60,0,3,,,,,,,,,3,,,57,0
2880,marker,1440,1,0,,,,,,,,,,,,,
2880,control_change,60,0,4,,,,,,,64,127,4,,,,
2880,control_change,0,0,3,,,,,,,64,127,3,,,,
2880,control_change,60,0,5,,,,,,,64,127,5,,,,
2880,note_on,0,0,5,,,,,,,,,5,,,53,49
3120,note_on,240,0,5,,,,,,,,,5,,,53,0
3120,note_on,240,0,3,,,,,,,,,3,,,60,50
3360,note_on,0,0,3,,,,,,,,,3,,,63,51
3360,note_on,240,0,3,,,,,,,,,3,,,60,0
3600,note_on,240,0,3,,,,,,,,,3,,,63,0
3600,note_on,0,0,3,,,,,,,,,3,,,60,51
3840,note_on,240,0,3,,,,,,,,,3,,,60,0
3840,note_on,0,0,3,,,,,,,,,3,,,63,52
3840,note_on,0,0,1,,,,,,,,,1,,,69,52
3840,note_on,960,0,1,,,,,,,,,1,,,72,0
4080,note_on,240,0,3,,,,,,,,,3,,,63,0
4080,note_on,0,0,3,,,,,,,,,3,,,60,53
4205,note_on,365,0,1,,,,,,,,,1,,,69,0
4260,control_change,1140,0,5,,,,,,,64,0,5,,,,
4260,control_change,1380,0,4,,,,,,,64,0,4,,,,
4260,control_change,180,0,3,,,,,,,64,0,3,,,,
4270,note_on,10,0,3,,,,,,,,,3,,,60,0
4320,control_change,60,0,5,,,,,,,64,127,5,,,,
4320,control_change,60,0,4,,,,,,,64,127,4,,,,
4320,note_on,0,0,5,,,,,,,,,5,,,53,54
4320,marker,1440,1,0,,,,,,,,,,,,,
4320,control_change,50,0,3,,,,,,,64,127,3,,,,
4320,note_on,115,0,1,,,,,,,,,1,,,70,54
4560,note_on,240,0,3,,,,,,,,,3,,,58,55
4560,note_on,240,0,5,,,,,,,,,5,,,53,0
4800,note_on,240,0,3,,,,,,,,,3,,,58,0
4800,note_on,0,0,3,,,,,,,,,3,,,62,56
5040,note_on,240,0,3,,,,,,,,,3,,,62,0
5040,note_on,0,0,3,,,,,,,,,3,,,58,57
5280,note_on,0,0,1,,,,,,,,,1,,,79,58
5280,note_on,960,0,1,,,,,,,,,1,,,70,0
5280,note_on,240,0,3,,,,,,,,,3,,,58,0
5280,note_on,0,0,3,,,,,,,,,3,,,62,58
5520,note_on,0,0,3,,,,,,,,,3,,,58,58
5520,note_on,240,0,3,,,,,,,,,3,,,62,0
5640,note_on,360,0,1,,,,,,,,,1,,,79,0
5700,set_tempo,1380,1,0,,,,,,402685,,,,,,,
5700,control_change,1380,0,4,,,,,,,64,0,4,,,,
5700,control_change,180,0,3,,,,,,,64,0,3,,,,
5700,control_change,1140,0,5,,,,,,,64,0,5,,,,
5710,note_on,10,0,3,,,,,,,,,3,,,58,0
5760,note_on,120,0,1,,,,,,,,,1,,,77,63
5760,control_change,60,0,4,,,,,,,64,127,4,,,,
5760,control_change,60,0,5,,,,,,,64,127,5,,,,
5760,control_change,50,0,3,,,,,,,64,127,3,,,,
5760,note_on,0,0,5,,,,,,,,,5,,,53,63
6000,note_on,240,0,1,,,,,,,,,1,,,77,0
6000,note_on,240,0,5,,,,,,,,,5,,,53,0
6000,note_on,0,0,1,,,,,,,,,1,,,76,59
6000,note_on,240,0,3,,,,,,,,,3,,,55,59
6190,note_on,190,0,1,,,,,,,,,1,,,76,0
6240,note_on,240,0,3,,,,,,,,,3,,,55,0
6240,note_on,0,0,3,,,,,,,,,3,,,58,55
6240,note_on,50,0,1,,,,,,,,,1,,,76,52
6480,note_on,240,0,3,,,,,,,,,3,,,58,0
6480,note_on,0,0,3,,,,,,,,,3,,,55,51
6605,note_on,365,0,1,,,,,,,,,1,,,76,0
6720,note_on,240,0,3,,,,,,,,,3,,,55,0
6720,note_on,0,0,3,,,,,,,,,3,,,58,51
6920,set_tempo,1220,1,0,,,,,,408163,,,,,,,
