tick,type,port,time,meta,track,data,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,program,channel,control,value,note,velocity
0,midi_port,0,0,1,0,,,,,,,,,,,,,
0,program_change,,0,0,1,,,,,,,,0,0,,,,
0,control_change,,0,0,1,,,,,,,,,0,121,0,,
0,control_change,,0,0,1,,,,,,,,,0,7,127,,
0,control_change,,0,0,1,,,,,,,,,0,10,84,,
0,control_change,,0,0,1,,,,,,,,,0,91,101,,
0,track_name,,0,1,7,,,,,,,,,,,,,
0,midi_port,0,0,1,2,,,,,,,,,,,,,
0,track_name,,0,1,2,,,,,,,,,,,,,
0,program_change,,0,0,2,,,,,,,,0,1,,,,
0,midi_port,0,0,1,3,,,,,,,,,,,,,
0,end_of_track,,0,1,3,,,,,,,,,,,,,
0,midi_port,0,0,1,4,,,,,,,,,,,,,
0,track_name,,0,1,4,,,,,,,,,,,,,
0,end_of_track,,0,1,4,,,,,,,,,,,,,
0,midi_port,0,0,1,5,,,,,,,,,,,,,
0,track_name,,0,1,5,,,,,,,,,,,,,
0,end_of_track,,0,1,5,,,,,,,,,,,,,
0,midi_port,0,0,1,6,,,,,,,,,,,,,
0,track_name,,0,1,6,,,,,,,,,,,,,
0,end_of_track,,0,1,6,,,,,,,,,,,,,
0,midi_port,0,0,1,7,,,,,,,,,,,,,
0,track_name,,0,1,1,,,,,,,,,,,,,
0,midi_port,0,0,1,1,,,,,,,,,,,,,
0,end_of_track,,0,1,7,,,,,,,,,,,,,
0,midi_port,0,0,1,0,,,,,,,,,,,,,
0,time_signature,,0,1,0,,4,4,24,8,,,,,,,,
0,set_tempo,,0,1,0,,,,,,,789474,,,,,,
0,key_signature,,0,1,0,,,,,,C,,,,,,,
0,sysex,,0,0,0,"(126, 127, 9, 1)",,,,,,,,,,,,
15,control_change,,15,0,2,,,,,,,,,1,121,0,,
15,control_change,,0,0,2,,,,,,,,,1,7,127,,
15,control_change,,0,0,2,,,,,,,,,1,10,44,,
15,control_change,,0,0,2,,,,,,,,,1,91,101,,
480,marker,,0,1,0,,,,,,,,,,,,,
480,key_signature,,0,1,0,,,,,,G,,,,,,,
480,time_signature,,480,1,0,,2,4,24,8,,,,,,,,
656,note_on,,656,0,1,,,,,,,,,0,,,74,89
674,control_change,,18,0,1,,,,,,,,,0,64,127,,
717,control_change,,0,0,1,,,,,,,,,0,64,0,,
717,note_on,,43,0,1,,,,,,,,,0,,,74,0
719,note_on,,2,0,1,,,,,,,,,0,,,79,89
720,note_on,,0,0,1,,,,,,,,,0,,,74,64
720,note_on,,0,0,1,,,,,,,,,0,,,67,68
