tick,type,data,time,meta,track,frame_rate,hours,minutes,seconds,frames,sub_frames,port,key,tempo,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,control,value,channel,program,note,velocity
0,sequencer_specific,"(0, 0, 91, 35, 1, 0, 5, 4, 35, 0)",0,1,0,,,,,,,,,,,,,,,,,,,
0,control_change,,0,0,9,,,,,,,,,,,,,,10,96,3,,,
0,control_change,,0,0,9,,,,,,,,,,,,,,11,127,3,,,
0,program_change,,0,0,9,,,,,,,,,,,,,,,,3,57,,
0,note_on,,0,0,9,,,,,,,,,,,,,,,,3,,58,72
0,track_name,,0,1,17,,,,,,,,,,,,,,,,,,,
0,midi_port,,0,1,17,,,,,,,0,,,,,,,,,,,,
0,program_change,,0,0,17,,,,,,,,,,,,,,,,11,73,,
0,control_change,,0,0,9,,,,,,,,,,,,,,7,96,3,,,
0,control_change,,0,0,17,,,,,,,,,,,,,,7,96,11,,,
0,control_change,,0,0,17,,,,,,,,,,,,,,11,127,11,,,
0,track_name,,0,1,18,,,,,,,,,,,,,,,,,,,
0,midi_port,,0,1,18,,,,,,,0,,,,,,,,,,,,
0,program_change,,0,0,18,,,,,,,,,,,,,,,,12,70,,
0,control_change,,0,0,18,,,,,,,,,,,,,,7,96,12,,,
0,control_change,,0,0,18,,,,,,,,,,,,,,10,48,12,,,
0,control_change,,0,0,18,,,,,,,,,,,,,,11,127,12,,,
0,control_change,,0,0,17,,,,,,,,,,,,,,10,96,11,,,
0,midi_port,,0,1,9,,,,,,,0,,,,,,,,,,,,
0,track_name,,0,1,9,,,,,,,,,,,,,,,,,,,
0,track_name,,0,1,13,,,,,,,,,,,,,,,,,,,
0,note_on,,0,0,11,,,,,,,,,,,,,,,,4,,79,72
0,control_change,,0,0,11,,,,,,,,,,,,,,11,127,4,,,
0,control_change,,0,0,11,,,,,,,,,,,,,,10,48,4,,,
0,control_change,,0,0,11,,,,,,,,,,,,,,7,96,4,,,
0,program_change,,0,0,11,,,,,,,,,,,,,,,,4,48,,
0,midi_port,,0,1,11,,,,,,,0,,,,,,,,,,,,
0,note_on,,0,0,13,,,,,,,,,,,,,,,,6,,67,72
0,control_change,,0,0,13,,,,,,,,,,,,,,11,127,6,,,
0,control_change,,0,0,13,,,,,,,,,,,,,,10,80,6,,,
0,control_change,,0,0,13,,,,,,,,,,,,,,7,96,6,,,
0,track_name,,0,1,16,,,,,,,,,,,,,,,,,,,
0,midi_port,,0,1,16,,,,,,,0,,,,,,,,,,,,
0,program_change,,0,0,16,,,,,,,,,,,,,,,,10,73,,
0,control_change,,0,0,16,,,,,,,,,,,,,,7,96,10,,,
0,control_change,,0,0,16,,,,,,,,,,,,,,10,24,10,,,
0,control_change,,0,0,16,,,,,,,,,,,,,,11,127,10,,,
0,program_change,,0,0,13,,,,,,,,,,,,,,,,6,48,,
0,note_on,,0,0,21,,,,,,,,,,,,,,,,15,,55,72
0,note_on,,0,0,11,,,,,,,,,,,,,,,,4,,70,72
0,control_change,,0,0,21,,,,,,,,,,,,,,11,127,15,,,
0,control_change,,0,0,21,,,,,,,,,,,,,,7,96,15,,,
0,control_change,,0,0,19,,,,,,,,,,,,,,10,80,13,,,
0,control_change,,0,0,19,,,,,,,,,,,,,,7,96,13,,,
0,program_change,,0,0,19,,,,,,,,,,,,,,,,13,60,,
0,midi_port,,0,1,19,,,,,,,0,,,,,,,,,,,,
0,track_name,,0,1,19,,,,,,,,,,,,,,,,,,,
0,midi_port,,0,1,10,,,,,,,0,,,,,,,,,,,,
0,control_change,,0,0,10,,,,,,,,,,,,,,7,96,3,,,
0,control_change,,0,0,19,,,,,,,,,,,,,,11,127,13,,,
0,control_change,,0,0,10,,,,,,,,,,,,,,10,96,3,,,
0,program_change,,0,0,10,,,,,,,,,,,,,,,,3,57,,
0,track_name,,0,1,6,,,,,,,,,,,,,,,,,,,
0,midi_port,,0,1,6,,,,,,,0,,,,,,,,,,,,
0,program_change,,0,0,6,,,,,,,,,,,,,,,,1,70,,
0,control_change,,0,0,6,,,,,,,,,,,,,,7,96,1,,,
0,control_change,,0,0,6,,,,,,,,,,,,,,10,65,1,,,
0,control_change,,0,0,6,,,,,,,,,,,,,,11,127,1,,,
0,control_change,,0,0,10,,,,,,,,,,,,,,11,127,3,,,
0,track_name,,0,1,10,,,,,,,,,,,,,,,,,,,
0,track_name,,0,1,20,,,,,,,,,,,,,,,,,,,
0,midi_port,,0,1,20,,,,,,,0,,,,,,,,,,,,
0,program_change,,0,0,21,,,,,,,,,,,,,,,,15,19,,
0,midi_port,,0,1,21,,,,,,,0,,,,,,,,,,,,
0,track_name,,0,1,21,,,,,,,,,,,,,,,,,,,
0,track_name,,0,1,11,,,,,,,,,,,,,,,,,,,
0,track_name,,0,1,12,,,,,,,,,,,,,,,,,,,
0,midi_port,,0,1,12,,,,,,,0,,,,,,,,,,,,
0,program_change,,0,0,12,,,,,,,,,,,,,,,,5,48,,
0,control_change,,0,0,12,,,,,,,,,,,,,,7,96,5,,,
0,control_change,,0,0,12,,,,,,,,,,,,,,10,24,5,,,
0,control_change,,0,0,12,,,,,,,,,,,,,,11,127,5,,,
0,note_on,,0,0,12,,,,,,,,,,,,,,,,5,,79,72
0,note_on,,0,0,12,,,,,,,,,,,,,,,,5,,70,72
0,note_on,,0,0,12,,,,,,,,,,,,,,,,5,,62,72
0,program_change,,0,0,20,,,,,,,,,,,,,,,,14,47,,
0,control_change,,0,0,20,,,,,,,,,,,,,,11,127,14,,,
0,control_change,,0,0,20,,,,,,,,,,,,,,10,25,14,,,
0,control_change,,0,0,20,,,,,,,,,,,,,,7,96,14,,,
0,control_change,,0,0,21,,,,,,,,,,,,,,10,64,15,,,
0,note_on,,0,0,11,,,,,,,,,,,,,,,,4,,62,72
0,midi_port,,0,1,13,,,,,,,0,,,,,,,,,,,,
0,midi_port,,0,1,5,,,,,,,0,,,,,,,,,,,,
0,midi_port,,0,1,14,,,,,,,0,,,,,,,,,,,,
0,track_name,,0,1,14,,,,,,,,,,,,,,,,,,,
0,track_name,,0,1,8,,,,,,,,,,,,,,,,,,,
0,midi_port,,0,1,8,,,,,,,0,,,,,,,,,,,,
0,control_change,,0,0,8,,,,,,,,,,,,,,7,96,3,,,
0,control_change,,0,0,8,,,,,,,,,,,,,,10,96,3,,,
0,control_change,,0,0,8,,,,,,,,,,,,,,11,127,3,,,
0,program_change,,0,0,8,,,,,,,,,,,,,,,,3,57,,
0,end_of_track,,0,1,3,,,,,,,,,,,,,,,,,,,
0,control_change,,0,0,5,,,,,,,,,,,,,,7,96,0,,,
0,midi_port,,0,1,3,,,,,,,0,,,,,,,,,,,,
0,track_name,,0,1,3,,,,,,,,,,,,,,,,,,,
0,track_name,,0,1,15,,,,,,,,,,,,,,,,,,,
0,midi_port,,0,1,15,,,,,,,0,,,,,,,,,,,,
0,program_change,,0,0,15,,,,,,,,,,,,,,,,8,48,,
0,control_change,,0,0,15,,,,,,,,,,,,,,7,104,8,,,
0,control_change,,0,0,15,,,,,,,,,,,,,,10,112,8,,,
0,control_change,,0,0,15,,,,,,,,,,,,,,11,127,8,,,
0,end_of_track,,0,1,2,,,,,,,,,,,,,,,,,,,
0,midi_port,,0,1,2,,,,,,,0,,,,,,,,,,,,
0,track_name,,0,1,2,,,,,,,,,,,,,,,,,,,
0,end_of_track,,0,1,1,,,,,,,,,,,,,,,,,,,
0,midi_port,,0,1,1,,,,,,,0,,,,,,,,,,,,
0,track_name,,0,1,1,,,,,,,,,,,,,,,,,,,
0,control_change,,0,0,14,,,,,,,,,,,,,,7,96,7,,,
0,program_change,,0,0,14,,,,,,,,,,,,,,,,7,48,,
0,set_tempo,,0,1,0,,,,,,,,,1200000,,,,,,,,,,
0,control_change,,0,0,5,,,,,,,,,,,,,,10,70,0,,,
0,control_change,,0,0,5,,,,,,,,,,,,,,11,127,0,,,
0,program_change,,0,0,5,,,,,,,,,,,,,,,,0,71,,
0,track_name,,0,1,5,,,,,,,,,,,,,,,,,,,
0,track_name,,0,1,0,,,,,,,,,,,,,,,,,,,
0,instrument_name,,0,1,0,,,,,,,,,,,,,,,,,,,
0,smpte_offset,,0,1,0,25,32,0,3,0,0,,,,,,,,,,,,,
0,midi_port,,0,1,0,,,,,,,0,,,,,,,,,,,,
0,key_signature,,0,1,0,,,,,,,,Bb,,,,,,,,,,,
0,control_change,,0,0,14,,,,,,,,,,,,,,10,96,7,,,
0,end_of_track,,0,1,4,,,,,,,,,,,,,,,,,,,
0,control_change,,0,0,7,,,,,,,,,,,,,,10,64,2,,,
0,track_name,,0,1,7,,,,,,,,,,,,,,,,,,,
0,time_signature,,0,1,0,,,,,,,,,,4,4,24,8,,,,,,
0,control_change,,0,0,7,,,,,,,,,,,,,,11,127,2,,,
0,control_change,,0,0,7,,,,,,,,,,,,,,7,96,2,,,
0,program_change,,0,0,7,,,,,,,,,,,,,,,,2,56,,
0,midi_port,,0,1,7,,,,,,,0,,,,,,,,,,,,
0,midi_port,,0,1,4,,,,,,,0,,,,,,,,,,,,
0,control_change,,0,0,14,,,,,,,,,,,,,,11,127,7,,,
59,note_on,,59,0,13,,,,,,,,,,,,,,,,6,,67,0
59,note_on,,0,0,12,,,,,,,,,,,,,,,,5,,62,0
59,note_on,,0,0,12,,,,,,,,,,,,,,,,5,,70,0
59,note_on,,59,0,12,,,,,,,,,,,,,,,,5,,79,0
59,note_on,,59,0,21,,,,,,,,,,,,,,,,15,,55,0
59,note_on,,59,0,11,,,,,,,,,,,,,,,,4,,79,0
59,note_on,,0,0,11,,,,,,,,,,,,,,,,4,,70,0
59,note_on,,0,0,11,,,,,,,,,,,,,,,,4,,62,0
60,note_on,,1,0,13,,,,,,,,,,,,,,,,6,,55,72
60,note_on,,1,0,12,,,,,,,,,,,,,,,,5,,67,72
60,note_on,,1,0,21,,,,,,,,,,,,,,,,15,,43,72
60,note_on,,1,0,11,,,,,,,,,,,,,,,,4,,67,72
119,note_on,,59,0,12,,,,,,,,,,,,,,,,5,,67,0
119,note_on,,59,0,21,,,,,,,,,,,,,,,,15,,43,0
119,note_on,,119,0,9,,,,,,,,,,,,,,,,3,,58,0
119,note_on,,59,0,13,,,,,,,,,,,,,,,,6,,55,0
119,note_on,,59,0,11,,,,,,,,,,,,,,,,4,,67,0
120,note_on,,120,0,8,,,,,,,,,,,,,,,,3,,67,72
120,note_on,,120,0,10,,,,,,,,,,,,,,,,3,,55,72
120,note_on,,120,0,6,,,,,,,,,,,,,,,,1,,58,72
120,note_on,,0,0,6,,,,,,,,,,,,,,,,1,,62,72
120,note_on,,120,0,5,,,,,,,,,,,,,,,,0,,70,72
120,note_on,,0,0,5,,,,,,,,,,,,,,,,0,,67,72
165,note_on,,46,0,12,,,,,,,,,,,,,,,,5,,79,72
165,note_on,,46,0,21,,,,,,,,,,,,,,,,15,,67,72
165,note_on,,46,0,13,,,,,,,,,,,,,,,,6,,67,72
165,note_on,,46,0,11,,,,,,,,,,,,,,,,4,,79,72
179,note_on,,14,0,21,,,,,,,,,,,,,,,,15,,67,0
179,note_on,,14,0,12,,,,,,,,,,,,,,,,5,,79,0
179,note_on,,14,0,11,,,,,,,,,,,,,,,,4,,79,0
179,note_on,,14,0,13,,,,,,,,,,,,,,,,6,,67,0
180,note_on,,1,0,12,,,,,,,,,,,,,,,,5,,77,72
180,note_on,,1,0,13,,,,,,,,,,,,,,,,6,,65,72
180,note_on,,1,0,11,,,,,,,,,,,,,,,,4,,77,72
180,note_on,,1,0,21,,,,,,,,,,,,,,,,15,,65,72
224,note_on,,44,0,12,,,,,,,,,,,,,,,,5,,77,0
224,note_on,,44,0,13,,,,,,,,,,,,,,,,6,,65,0
224,note_on,,44,0,11,,,,,,,,,,,,,,,,4,,77,0
224,note_on,,44,0,21,,,,,,,,,,,,,,,,15,,65,0
225,note_on,,1,0,12,,,,,,,,,,,,,,,,5,,75,72
225,note_on,,1,0,13,,,,,,,,,,,,,,,,6,,63,72
225,note_on,,1,0,11,,,,,,,,,,,,,,,,4,,75,72
225,note_on,,1,0,21,,,,,,,,,,,,,,,,15,,63,72
239,note_on,,0,0,5,,,,,,,,,,,,,,,,0,,67,0
239,note_on,,14,0,12,,,,,,,,,,,,,,,,5,,75,0
239,note_on,,14,0,21,,,,,,,,,,,,,,,,15,,63,0
239,note_on,,14,0,13,,,,,,,,,,,,,,,,6,,63,0
239,note_on,,119,0,5,,,,,,,,,,,,,,,,0,,70,0
239,note_on,,14,0,11,,,,,,,,,,,,,,,,4,,75,0
239,note_on,,119,0,8,,,,,,,,,,,,,,,,3,,67,0
239,note_on,,119,0,10,,,,,,,,,,,,,,,,3,,55,0
239,note_on,,0,0,6,,,,,,,,,,,,,,,,1,,62,0
